4	www.climaton.com									
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F °C)	Feels Like (°F °C)	(Wind Speed) (mph)	Wind	Dew Point (°F °C)	Humidity (%)	Pressure (inches)	Visibility (miles)
Thu Feb  4 01:44:11 2010	Jacksonville, Florida 32099  	mostly cloudy	52 11	50 10	6	NE	45 7	76	30.17	10
Thu Feb  4 01:44:12 2010	Dallas, Texas 75201  	mostly cloudy	45 7	41 5	8	E	39 4	81	30.1	10
Thu Feb  4 01:44:12 2010	Houston, Texas 77001  	light rain	52 11	47 8	15-24	E	46 8	82	29.95	8
Thu Feb  4 01:44:12 2010	Seattle, Washington 98101  	mostly cloudy	50 10	50 10	0		43 6	76	29.7	10
Thu Feb  4 01:44:13 2010	Detroit, Michigan 48201  	clear sky	30 -1	25 -4	5	NW	21 -6	69	30.29	10
Thu Feb  4 01:44:13 2010	Philadelphia, Pennsylvania 19019  	clear sky	36 2	31 -1	6	W	25 -4	64	30.14	10
Thu Feb  4 01:44:13 2010	Milwaukee, Wisconsin 53201  	clear sky	25 -4	25 -4	0		16 -9	68	30.34	10
Thu Feb  4 02:31:54 2010	San Jose, California 95101  	mostly cloudy	57 14	54 12	12	NW	46 8	67	29.8	10
Thu Feb  4 02:31:54 2010	Charlotte, North Carolina 28201  	clear sky	43 6	43 6	0		34 1	70	30.18	10
Thu Feb  4 02:31:55 2010	Denver, Colorado 80214  	mostly cloudy	43 6	38 3	9	SE	11-Dec	28	29.85	10
Thu Feb  4 02:31:55 2010	Memphis, Tennessee 37501  	mostly cloudy	43 6	37 3	20-Oct	NE	28 -2	56	30.27	10
Thu Feb  4 02:31:55 2010	San Diego, California 92101  	clear sky	61 16	60 16	9	SW	52 11	72	29.78	10
Thu Feb  4 02:31:56 2010	New York, New York 10001  	clear sky	36 2	30 -1	17-Aug	W	21 -6	55	30.1	10
Thu Feb  4 02:31:56 2010	El Paso, Texas 79901  	mostly cloudy	45 7	40 4	9	N	41 5	87	29.71	10
Thu Feb  4 02:31:56 2010	Los Angeles, California 90001  	clear sky	66 19	66 19	0		45 7	46	29.73	10
Thu Feb  4 02:31:57 2010	Washington, Washington D. C. 20001  	mostly cloudy	39 4	34 1	7	W	27 -3	60	30.2	10
Thu Feb  4 02:31:57 2010	Las Vegas, Nevada 89101  	clear sky	63 17	63 17	3	NE	30 -1	29	29.68	10
Thu Feb  4 02:31:57 2010	Baltimore, Maryland 21201  	normal	39 4	39 4			25 -4	56	30.17	
Thu Feb  4 02:31:58 2010	Oklahoma City, Oklahoma 73101  	clear sky	36 2	29 -2	9	E	34 1	93	30.13	7
Thu Feb  4 02:31:58 2010	Austin, Texas 73301  	light rain	48 9	43 6	12	E	46 8	93	29.91	2.5
Thu Feb  4 02:31:58 2010	San Francisco, California 94101  	clear sky	57 14	55 13	9	W	50 10	77	29.83	10
Thu Feb  4 02:31:59 2010	Nashville, Tennessee 37201  	clear sky	37 3	32 0	7	N	27 -3	65	30.27	10
Thu Feb  4 02:31:59 2010	Fort Worth, Texas 76101  	light rain	43 6	37 3	12	NE	39 4	87	30.05	5
Thu Feb  4 02:31:59 2010	Phoenix, Arizona 85001  	mostly cloudy	70 21	76 24	7	S	39 4	33	29.62	10
Thu Feb  4 02:32:00 2010	Chicago, Illinois 60601  	mostly cloudy	28 -2	25 -4	3	E	21 -6	74	30.35	10
Thu Feb  4 02:32:00 2010	Portland, Oregon 97201  	mostly cloudy	30 -1	19 -7	16	NW	25 -4	80	29.97	10
Thu Feb  4 02:32:01 2010	San Antonio, Texas 78201  	mostly cloudy	50 10	44 7	16-25	E	48 9	94	29.83	6
Thu Feb  4 02:32:01 2010	Indianapolis, Indiana 46201  	clear sky	27 -3	27 -3	0		19 -7	74	30.32	7
Thu Feb  4 02:32:02 2010	Columbus, Ohio 43085  	mostly cloudy	30 -1	25 -4	5	NW	25 -4	80	30.31	5
Thu Feb  4 02:32:02 2010	Dallas, Texas 75201  	mostly cloudy	45 7	41 5	8	E	39 4	81	30.1	10
Thu Feb  4 02:32:02 2010	Jacksonville, Florida 32099  	mostly cloudy	52 11	50 10	6	NE	45 7	76	30.17	10
Thu Feb  4 02:32:03 2010	Houston, Texas 77001  	light rain	52 11	47 8	15-24	E	46 8	82	29.95	8
Thu Feb  4 02:32:03 2010	Milwaukee, Wisconsin 53201  	clear sky	25 -4	25 -4	0		16 -9	68	30.34	10
Thu Feb  4 02:32:03 2010	Seattle, Washington 98101  	mostly cloudy	50 10	50 10	0		43 6	76	29.7	10
Thu Feb  4 02:32:04 2010	Detroit, Michigan 48201  	clear sky	30 -1	25 -4	5	NW	21 -6	69	30.29	10
Thu Feb  4 02:32:04 2010	Philadelphia, Pennsylvania 19019  	clear sky	36 2	31 -1	6	W	25 -4	64	30.14	10
Thu Feb  4 03:15:16 2010	San Jose, California 95101  	mostly cloudy	57 14	54 12	13	NW	48 9	72	29.82	10
Thu Feb  4 03:15:16 2010	Charlotte, North Carolina 28201  	clear sky	39 4	39 4	0		34 1	81	30.19	9
Thu Feb  4 03:15:17 2010	Denver, Colorado 80214  	mostly cloudy	41 5	35 2	9	SE	11-Dec	30	29.86	10
Thu Feb  4 03:15:17 2010	Memphis, Tennessee 37501  	mostly cloudy	43 6	36 2	13-20	NE	28 -2	56	30.26	10
Thu Feb  4 03:15:17 2010	San Diego, California 92101  	clear sky	61 16	60 16	8	SW	52 11	72	29.79	10
Thu Feb  4 03:15:18 2010	New York, New York 10001  	clear sky	34 1	29 -2	5	N	21 -6	59	30.12	10
Thu Feb  4 03:15:18 2010	El Paso, Texas 79901  	light rain	45 7	40 4	10	N	41 5	87	29.73	7
Thu Feb  4 03:15:18 2010	Los Angeles, California 90001  	clear sky	63 17	63 17	0		46 8	55	29.74	10
Thu Feb  4 03:15:19 2010	Washington, Washington D. C. 20001  	mostly cloudy	39 4	35 2	6	W	27 -3	60	30.23	10
Thu Feb  4 03:15:19 2010	Las Vegas, Nevada 89101  	clear sky	61 16	61 16	5	E	32 0	34	29.68	10
Thu Feb  4 03:15:19 2010	Baltimore, Maryland 21201  	normal	39 4	39 4			27 -3	60	30.19	
Thu Feb  4 03:15:20 2010	Oklahoma City, Oklahoma 73101  	clear sky	36 2	30 -1	7	E	34 1	93	30.13	6
Thu Feb  4 03:15:20 2010	Austin, Texas 73301  	mostly cloudy	48 9	42 6	14	E	46 8	93	29.88	4
Thu Feb  4 03:15:20 2010	San Francisco, California 94101  	mostly cloudy	55 13	51 11	13	W	48 9	77	29.84	10
Thu Feb  4 03:15:21 2010	Nashville, Tennessee 37201  	clear sky	37 3	32 0	6	N	27 -3	65	30.31	10
Thu Feb  4 03:15:21 2010	Fort Worth, Texas 76101  	light rain	41 5	34 1	12	E	37 3	87	30.05	9
Thu Feb  4 03:15:21 2010	Phoenix, Arizona 85001  	mostly cloudy	68 20	68 20	6	S	39 4	35	29.64	10
Thu Feb  4 03:15:22 2010	Chicago, Illinois 60601  	mostly cloudy	30 -1	25 -4	5	SE	21 -6	69	30.36	9
Thu Feb  4 03:15:22 2010	Portland, Oregon 97201  	mostly cloudy	30 -1	19 -7	15-21	NW	25 -4	80	29.98	10
Thu Feb  4 03:15:22 2010	San Antonio, Texas 78201  	mostly cloudy	50 10	45 7	25-Dec	E	48 9	94	29.88	6
Thu Feb  4 03:15:23 2010	Indianapolis, Indiana 46201  	clear sky	27 -3	24 -4	3	NW	19 -7	74	30.35	7
Thu Feb  4 03:15:23 2010	Jacksonville, Florida 32099  	clear sky	52 11	50 10	7	N	45 7	76	30.18	10
Thu Feb  4 03:15:24 2010	Columbus, Ohio 43085  	mostly cloudy	30 -1	23 -5	7	N	25 -4	80	30.33	5
Thu Feb  4 03:15:24 2010	Dallas, Texas 75201  	light rain	45 7	40 4	10	E	37 3	76	30.07	6
Thu Feb  4 03:15:24 2010	Houston, Texas 77001  	light rain	52 11	46 8	20-24	E	46 8	82	29.96	9
Thu Feb  4 03:15:25 2010	Milwaukee, Wisconsin 53201  	clear sky	25 -4	21 -6	3	S	18 -8	74	30.35	10
Thu Feb  4 03:15:25 2010	Seattle, Washington 98101  	mostly cloudy	50 10	50 10	3	NE	43 6	76	29.7	10
Thu Feb  4 03:15:26 2010	Detroit, Michigan 48201  	mostly cloudy	30 -1	24 -4	6	NW	21 -6	69	30.32	9
Thu Feb  4 03:15:26 2010	Philadelphia, Pennsylvania 19019  	mostly cloudy	36 2	34 1	3	NW	27 -3	69	30.15	10
Thu Feb  4 03:59:35 2010	San Jose, California 95101  	mostly cloudy	55 13	53 12	9	NW	50 10	82	29.84	10
Thu Feb  4 03:59:35 2010	Charlotte, North Carolina 28201  	clear sky	37 3	37 3	0		34 1	87	30.23	7
Thu Feb  4 03:59:36 2010	Denver, Colorado 80214  	mostly cloudy	39 4	32 0	12	SE	14 -10	35	29.85	10
Thu Feb  4 03:59:36 2010	Memphis, Tennessee 37501  	mostly cloudy	39 4	35 2	5	N	30 -1	70	30.26	10
Thu Feb  4 03:59:36 2010	San Diego, California 92101  	clear sky	59 15	58 14	6	SW	52 11	77	29.81	10
Thu Feb  4 03:59:37 2010	New York, New York 10001  	clear sky	34 1	28 -2	7	N	19 -7	55	30.14	10
Thu Feb  4 03:59:37 2010	El Paso, Texas 79901  	mostly cloudy	45 7	41 5	8	N	43 6	93	29.75	10
Thu Feb  4 03:59:37 2010	Los Angeles, California 90001  	clear sky	63 17	63 17	0		46 8	55	29.76	10
Thu Feb  4 03:59:38 2010	Washington, Washington D. C. 20001  	clear sky	37 3	32 0	6	NW	27 -3	65	30.24	10
Thu Feb  4 03:59:38 2010	Baltimore, Maryland 21201  	normal	37 3	37 3			27 -3	65	30.21	
Thu Feb  4 03:59:38 2010	Las Vegas, Nevada 89101  	clear sky	59 15	59 15	0		32 0	36	29.69	10
Thu Feb  4 03:59:39 2010	Austin, Texas 73301  	mostly cloudy	48 9	43 6	12	E	46 8	93	29.93	8
Thu Feb  4 03:59:39 2010	San Francisco, California 94101  	mostly cloudy	55 13	54 12	5	SW	48 9	77	29.84	10
Thu Feb  4 03:59:40 2010	Nashville, Tennessee 37201  	clear sky	37 3	32 0	6	N	27 -3	65	30.32	10
Thu Feb  4 03:59:40 2010	Oklahoma City, Oklahoma 73101  	mostly cloudy	36 2	31 -1	6	E	34 1	93	30.13	3
Thu Feb  4 03:59:40 2010	Fort Worth, Texas 76101  	light rain	43 6	38 3	8	E	37 3	81	30.06	8
Thu Feb  4 03:59:41 2010	Chicago, Illinois 60601  	mostly cloudy	28 -2	22 -6	5	SE	21 -6	74	30.37	9
Thu Feb  4 03:59:41 2010	Portland, Oregon 97201  	mostly cloudy	30 -1	19 -7	16-21	NW	23 -5	74	29.99	10
Thu Feb  4 03:59:41 2010	Phoenix, Arizona 85001  	mostly cloudy	66 19	66 19	8	NE	43 6	43	29.67	10
Thu Feb  4 03:59:42 2010	Indianapolis, Indiana 46201  	mostly cloudy	25 -4	19 -7	5	N	19 -7	80	30.36	6
Thu Feb  4 03:59:42 2010	San Antonio, Texas 78201  	light rain	50 10	45 7	20-Dec	E	48 9	94	29.87	2
Thu Feb  4 03:59:43 2010	Columbus, Ohio 43085  	mostly cloudy	30 -1	25 -4	5	N	25 -4	80	30.34	4
Thu Feb  4 03:59:43 2010	Dallas, Texas 75201  	light rain	45 7	39 4	12	E	37 3	76	30.09	7
Thu Feb  4 03:59:43 2010	Jacksonville, Florida 32099  	clear sky	52 11	49 9	8	N	45 7	76	30.21	10
Thu Feb  4 03:59:44 2010	Milwaukee, Wisconsin 53201  	clear sky	25 -4	19 -7	5	S	16 -9	68	30.36	10
Thu Feb  4 03:59:44 2010	Seattle, Washington 98101  	mostly cloudy	48 9	45 7	6	W	45 7	87	29.72	10
Thu Feb  4 03:59:44 2010	Houston, Texas 77001  	moderate rain	52 11	47 8	14-28	E	46 8	82	29.97	5
Thu Feb  4 03:59:45 2010	Detroit, Michigan 48201  	clear sky	28 -2	25 -4	3	W	21 -6	74	30.34	9
Thu Feb  4 03:59:45 2010	Philadelphia, Pennsylvania 19019  	clear sky	34 1	29 -2	6	NW	25 -4	69	30.17	10
Thu Feb  4 04:42:44 2010	San Jose, California 95101  	mostly cloudy	55 13	54 12	6	NW	48 9	77	29.84	10
Thu Feb  4 04:42:44 2010	Charlotte, North Carolina 28201  	clear sky	37 3	37 3	0		34 1	87	30.25	8
Thu Feb  4 04:42:45 2010	Denver, Colorado 80214  	mostly cloudy	39 4	33 1	8	SE	18 -8	41	29.84	10
Thu Feb  4 04:42:45 2010	Memphis, Tennessee 37501  	mostly cloudy	39 4	32 0	12	NE	28 -2	65	30.25	10
Thu Feb  4 04:42:45 2010	San Diego, California 92101  	mostly cloudy	57 14	56 13	6	SW	52 11	82	29.85	10
Thu Feb  4 04:42:46 2010	New York, New York 10001  	clear sky	34 1	29 -2	6	N	19 -7	55	30.15	10
Thu Feb  4 04:42:46 2010	El Paso, Texas 79901  	mostly cloudy	45 7	45 7	0		41 5	87	29.79	10
Thu Feb  4 04:42:46 2010	Los Angeles, California 90001  	clear sky	61 16	61 16	0		54 12	77	29.81	10
Thu Feb  4 04:42:47 2010	Washington, Washington D. C. 20001  	mostly cloudy	37 3	32 0	7	NW	27 -3	65	30.27	10
Thu Feb  4 04:42:47 2010	Las Vegas, Nevada 89101  	clear sky	57 14	57 14	3	W	34 1	41	29.71	10
Thu Feb  4 04:42:47 2010	Baltimore, Maryland 21201  	normal	37 3	37 3			27 -3	65	30.23	
Thu Feb  4 04:42:48 2010	Oklahoma City, Oklahoma 73101  	light rain	36 2	31 -1	6	NE	34 1	93	30.12	2
Thu Feb  4 04:42:48 2010	Austin, Texas 73301  	mostly cloudy	48 9	44 7	10	NE	46 8	93	29.94	8
Thu Feb  4 04:42:48 2010	San Francisco, California 94101  	mostly cloudy	55 13	54 12	6	W	48 9	77	29.84	10
Thu Feb  4 04:42:49 2010	Nashville, Tennessee 37201  	clear sky	34 1	28 -2	7	NE	27 -3	75	30.31	9
Thu Feb  4 04:42:49 2010	Fort Worth, Texas 76101  	mostly cloudy	43 6	36 2	13	E	37 3	81	30.05	10
Thu Feb  4 04:42:49 2010	Phoenix, Arizona 85001  	mostly cloudy	63 17	63 17	0		48 9	59	29.67	10
Thu Feb  4 04:42:50 2010	Chicago, Illinois 60601  	mostly cloudy	30 -1	25 -4	5	S	21 -6	69	30.4	7
Thu Feb  4 04:42:50 2010	Portland, Oregon 97201  	mostly cloudy	30 -1	19 -7	15-22	NW	21 -6	69	30.01	10
Thu Feb  4 04:42:50 2010	San Antonio, Texas 78201  	light rain	50 10	47 8	8	NE	48 9	94	29.88	2
Thu Feb  4 04:42:51 2010	Indianapolis, Indiana 46201  	clear sky	27 -3	20 -7	6	NE	21 -6	80	30.36	6
Thu Feb  4 04:42:51 2010	Jacksonville, Florida 32099  	mostly cloudy	50 10	45 7	13	N	45 7	82	30.2	10
Thu Feb  4 04:42:52 2010	Columbus, Ohio 43085  	mostly cloudy	30 -1	27 -3	3	NW	25 -4	80	30.36	4
Thu Feb  4 04:42:52 2010	Dallas, Texas 75201  	mostly cloudy	45 7	39 4	14	E	37 3	76	30.05	7
Thu Feb  4 04:42:52 2010	Houston, Texas 77001  	moderate rain	50 10	44 7	16-28	E	46 8	87	29.95	4
Thu Feb  4 04:42:53 2010	Detroit, Michigan 48201  	clear sky	28 -2	28 -2	0		21 -6	74	30.35	8
Thu Feb  4 04:42:53 2010	Milwaukee, Wisconsin 53201  	clear sky	25 -4	25 -4	0		18 -8	74	30.38	9
Thu Feb  4 04:42:53 2010	Seattle, Washington 98101  	moderate rain	46 8	46 8	0		45 7	93	29.73	4
Thu Feb  4 04:42:54 2010	Philadelphia, Pennsylvania 19019  	clear sky	36 2	30 -1	8	NW	23 -5	60	30.19	10
Thu Feb  4 05:26:06 2010	San Jose, California 95101  	mostly cloudy	55 13	54 12	6	NW	48 9	77	29.84	10
Thu Feb  4 05:26:06 2010	Charlotte, North Carolina 28201  	clear sky	37 3	37 3	0		34 1	87	30.25	8
Thu Feb  4 05:26:07 2010	Denver, Colorado 80214  	mostly cloudy	39 4	33 1	8	SE	18 -8	41	29.84	10
Thu Feb  4 05:26:07 2010	Memphis, Tennessee 37501  	mostly cloudy	39 4	32 0	12	NE	28 -2	65	30.25	10
Thu Feb  4 05:26:07 2010	San Diego, California 92101  	mostly cloudy	57 14	56 13	6	SW	52 11	82	29.85	10
Thu Feb  4 05:26:08 2010	El Paso, Texas 79901  	mostly cloudy	45 7	45 7	0		41 5	87	29.79	10
Thu Feb  4 05:26:08 2010	Los Angeles, California 90001  	clear sky	61 16	61 16	0		54 12	77	29.81	10
Thu Feb  4 05:26:09 2010	New York, New York 10001  	clear sky	34 1	29 -2	6	N	19 -7	55	30.15	10
Thu Feb  4 05:26:09 2010	Las Vegas, Nevada 89101  	clear sky	57 14	57 14	3	W	34 1	41	29.71	10
Thu Feb  4 05:26:09 2010	Baltimore, Maryland 21201  	normal	37 3	37 3			27 -3	65	30.23	
Thu Feb  4 05:26:10 2010	Washington, Washington D. C. 20001  	mostly cloudy	37 3	32 0	7	NW	27 -3	65	30.27	10
Thu Feb  4 05:26:10 2010	Austin, Texas 73301  	mostly cloudy	48 9	44 7	10	NE	46 8	93	29.94	8
Thu Feb  4 05:26:10 2010	San Francisco, California 94101  	mostly cloudy	55 13	54 12	6	W	48 9	77	29.84	10
Thu Feb  4 05:26:11 2010	Nashville, Tennessee 37201  	clear sky	34 1	28 -2	7	NE	27 -3	75	30.31	9
Thu Feb  4 05:26:11 2010	Oklahoma City, Oklahoma 73101  	light rain	36 2	31 -1	6	NE	34 1	93	30.12	2
Thu Feb  4 05:26:11 2010	Fort Worth, Texas 76101  	mostly cloudy	43 6	36 2	13	E	37 3	81	30.05	10
Thu Feb  4 05:26:12 2010	Chicago, Illinois 60601  	mostly cloudy	30 -1	25 -4	5	S	21 -6	69	30.4	7
Thu Feb  4 05:26:12 2010	Portland, Oregon 97201  	mostly cloudy	30 -1	19 -7	15-22	NW	21 -6	69	30.01	10
Thu Feb  4 05:26:12 2010	Phoenix, Arizona 85001  	mostly cloudy	63 17	63 17	0		48 9	59	29.67	10
Thu Feb  4 05:26:13 2010	Indianapolis, Indiana 46201  	clear sky	27 -3	20 -7	6	NE	21 -6	80	30.36	6
Thu Feb  4 05:26:13 2010	San Antonio, Texas 78201  	light rain	50 10	47 8	8	NE	48 9	94	29.88	2
Thu Feb  4 05:26:14 2010	Columbus, Ohio 43085  	mostly cloudy	30 -1	27 -3	3	NW	25 -4	80	30.36	4
Thu Feb  4 05:26:14 2010	Dallas, Texas 75201  	mostly cloudy	45 7	39 4	14	E	37 3	76	30.05	7
Thu Feb  4 05:26:14 2010	Jacksonville, Florida 32099  	mostly cloudy	50 10	45 7	13	N	45 7	82	30.2	10
Thu Feb  4 05:26:15 2010	Houston, Texas 77001  	moderate rain	50 10	44 7	16-28	E	46 8	87	29.95	4
Thu Feb  4 05:26:15 2010	Milwaukee, Wisconsin 53201  	clear sky	25 -4	25 -4	0		18 -8	74	30.38	9
Thu Feb  4 05:26:15 2010	Seattle, Washington 98101  	moderate rain	46 8	46 8	0		45 7	93	29.73	4
Thu Feb  4 05:26:16 2010	Philadelphia, Pennsylvania 19019  	clear sky	36 2	30 -1	8	NW	23 -5	60	30.19	10
Thu Feb  4 05:26:16 2010	Detroit, Michigan 48201  	clear sky	28 -2	28 -2	0		21 -6	74	30.35	8
Thu Feb  4 06:09:09 2010	Charlotte, North Carolina 28201  	clear sky	37 3	29 -2	12	N	30 -1	75	30.26	10
Thu Feb  4 06:09:09 2010	San Jose, California 95101  	mostly cloudy	55 13	54 12	6	NW	48 9	77	29.84	10
Thu Feb  4 06:09:09 2010	San Diego, California 92101  	mostly cloudy	57 14	57 14	0		52 11	82	29.87	10
Thu Feb  4 06:09:10 2010	Denver, Colorado 80214  	mostly cloudy	37 3	32 0	7	SW	18 -8	44	29.83	10
Thu Feb  4 06:09:10 2010	Memphis, Tennessee 37501  	mostly cloudy	39 4	32 0	12	NE	28 -2	65	30.23	10
Thu Feb  4 06:09:11 2010	New York, New York 10001  	clear sky	32 0	23 -5	24-Dec	W	19 -7	59	30.17	10
Thu Feb  4 06:09:11 2010	El Paso, Texas 79901  	light rain	45 7	45 7	0		41 5	87	29.8	10
Thu Feb  4 06:09:11 2010	Los Angeles, California 90001  	clear sky	59 15	59 15	0		52 11	77	29.83	10
Thu Feb  4 06:09:12 2010	Washington, Washington D. C. 20001  	mostly cloudy	37 3	32 0	6	W	27 -3	65	30.28	10
Thu Feb  4 06:09:12 2010	Las Vegas, Nevada 89101  	clear sky	52 11	50 10	7	W	36 2	54	29.73	10
Thu Feb  4 06:09:12 2010	Baltimore, Maryland 21201  	normal	36 2	36 2			27 -3	69	30.24	
Thu Feb  4 06:09:13 2010	Oklahoma City, Oklahoma 73101  	light rain	36 2	30 -1	8	NE	34 1	93	30.1	3
Thu Feb  4 06:09:13 2010	Austin, Texas 73301  	light rain	48 9	44 7	9	NE	46 8	93	29.94	2.5
Thu Feb  4 06:09:13 2010	San Francisco, California 94101  	mostly cloudy	55 13	55 13	0		48 9	77	29.84	10
Thu Feb  4 06:09:14 2010	Nashville, Tennessee 37201  	clear sky	34 1	29 -2	6	NE	27 -3	75	30.29	8
Thu Feb  4 06:09:14 2010	Fort Worth, Texas 76101  	light rain	43 6	36 2	14	E	37 3	81	30.04	10
Thu Feb  4 06:09:14 2010	Phoenix, Arizona 85001  	mostly cloudy	61 16	60 16	8	SE	52 11	72	29.69	10
Thu Feb  4 06:09:15 2010	Portland, Oregon 97201  	mostly cloudy	30 -1	19 -7	16	NW	21 -6	69	30	10
Thu Feb  4 06:09:15 2010	San Antonio, Texas 78201  	light rain	50 10	47 8	7	NE	48 9	94	29.9	2
Thu Feb  4 06:09:15 2010	Chicago, Illinois 60601  	mostly cloudy	30 -1	30 -1	0		19 -7	64	30.39	7
Thu Feb  4 06:09:16 2010	Indianapolis, Indiana 46201  	clear sky	27 -3	19 -7	7	E	21 -6	80	30.35	8
Thu Feb  4 06:09:16 2010	Jacksonville, Florida 32099  	mostly cloudy	50 10	45 7	12	N	45 7	82	30.22	10
Thu Feb  4 06:09:17 2010	Columbus, Ohio 43085  	clear sky	28 -2	22 -6	5	NW	25 -4	86	30.36	3
Thu Feb  4 06:09:17 2010	Dallas, Texas 75201  	light rain	45 7	38 3	16-24	E	37 3	76	30.08	7
Thu Feb  4 06:09:17 2010	Houston, Texas 77001  	moderate rain	50 10	45 7	14-26	E	46 8	87	29.96	4
Thu Feb  4 06:09:18 2010	Milwaukee, Wisconsin 53201  	clear sky	21 -6	17 -8	3	SW	18 -8	86	30.38	7
Thu Feb  4 06:09:18 2010	Seattle, Washington 98101  	mostly cloudy	46 8	45 7	3	E	45 7	93	29.73	10
Thu Feb  4 06:09:19 2010	Detroit, Michigan 48201  	mostly cloudy	28 -2	25 -4	3	NW	21 -6	74	30.37	9
Thu Feb  4 06:09:19 2010	Philadelphia, Pennsylvania 19019  	clear sky	34 1	32 0	3	W	23 -5	64	30.2	10
Thu Feb  4 06:52:07 2010	Charlotte, North Carolina 28201  	clear sky	36 2	28 -2	12	NE	28 -2	75	30.27	10
Thu Feb  4 06:52:07 2010	San Jose, California 95101  	mostly cloudy	54 12	54 12	3	NW	48 9	82	29.84	10
Thu Feb  4 06:52:07 2010	San Diego, California 92101  	clear sky	57 14	57 14	3	SE	52 11	82	29.9	10
Thu Feb  4 06:52:09 2010	Denver, Colorado 80214  	mostly cloudy	36 2	28 -2	12	S	18 -8	47	29.81	10
Thu Feb  4 06:52:09 2010	Memphis, Tennessee 37501  	mostly cloudy	39 4	32 0	10	NE	28 -2	65	30.23	10
Thu Feb  4 06:52:09 2010	Los Angeles, California 90001  	clear sky	57 14	57 14	0		52 11	82	29.83	10
Thu Feb  4 06:52:10 2010	New York, New York 10001  	clear sky	30 -1	23 -5	24-Jul	W	19 -7	64	30.17	10
Thu Feb  4 06:52:10 2010	El Paso, Texas 79901  	mostly cloudy	45 7	45 7	0		41 5	87	29.8	10
Thu Feb  4 06:52:11 2010	Washington, Washington D. C. 20001  	clear sky	37 3	32 0	7	NW	25 -4	60	30.28	10
Thu Feb  4 06:52:11 2010	Las Vegas, Nevada 89101  	clear sky	52 11	51 11	5	SW	36 2	54	29.74	10
Thu Feb  4 06:52:11 2010	Baltimore, Maryland 21201  	normal	36 2	36 2			25 -4	64	30.25	
Thu Feb  4 06:52:12 2010	Austin, Texas 73301  	light rain	48 9	44 7	8	N	46 8	93	29.92	2
Thu Feb  4 06:52:12 2010	San Francisco, California 94101  	mostly cloudy	54 12	54 12	0		48 9	82	29.84	10
Thu Feb  4 06:52:13 2010	Oklahoma City, Oklahoma 73101  	light rain	36 2	31 -1	6	NE	34 1	93	30.1	4
Thu Feb  4 06:52:14 2010	Nashville, Tennessee 37201  	mostly cloudy	34 1	28 -2	7	NE	27 -3	75	30.27	8
Thu Feb  4 06:52:14 2010	Fort Worth, Texas 76101  	light rain	43 6	36 2	15	E	37 3	81	30.01	10
Thu Feb  4 06:52:15 2010	Phoenix, Arizona 85001  	mostly cloudy	61 16	60 16	10	SE	48 9	63	29.7	10
Thu Feb  4 06:52:16 2010	Portland, Oregon 97201  	clear sky	30 -1	19 -7	14	NW	21 -6	69	30	10
Thu Feb  4 06:52:17 2010	San Antonio, Texas 78201  	light rain	50 10	47 8	7	NE	48 9	94	29.89	2
Thu Feb  4 06:52:17 2010	Chicago, Illinois 60601  	mostly cloudy	28 -2	28 -2	0		19 -7	69	30.38	7
Thu Feb  4 06:52:19 2010	Indianapolis, Indiana 46201  	clear sky	27 -3	20 -7	6	E	21 -6	80	30.35	8
Thu Feb  4 06:52:20 2010	Jacksonville, Florida 32099  	clear sky	48 9	44 7	8	NE	45 7	87	30.2	10
Thu Feb  4 06:52:21 2010	Dallas, Texas 75201  	mostly cloudy	43 6	35 2	16-24	E	37 3	81	30.03	7
Thu Feb  4 06:52:21 2010	Houston, Texas 77001  	moderate rain	50 10	45 7	13-23	NE	46 8	87	29.97	4
Thu Feb  4 06:52:21 2010	Columbus, Ohio 43085  	clear sky	27 -3	27 -3	0		25 -4	93	30.36	2.5
Thu Feb  4 06:52:21 2010	Seattle, Washington 98101  	mostly cloudy	46 8	46 8	0		45 7	93	29.73	10
Thu Feb  4 06:52:22 2010	Detroit, Michigan 48201  	clear sky	27 -3	24 -4	3	W	19 -7	74	30.38	10
Thu Feb  4 06:52:22 2010	Milwaukee, Wisconsin 53201  	clear sky	18 -8	18 -8	0		14 -10	85	30.36	5
Thu Feb  4 06:52:23 2010	Philadelphia, Pennsylvania 19019  	mostly cloudy	32 0	29 -2	3	W	25 -4	74	30.22	10
Thu Feb  4 07:35:34 2010	Charlotte, North Carolina 28201  	clear sky	36 2	28 -2	12	NE	28 -2	75	30.27	10
Thu Feb  4 07:35:34 2010	San Jose, California 95101  	mostly cloudy	54 12	54 12	3	NW	48 9	82	29.84	10
Thu Feb  4 07:35:34 2010	San Diego, California 92101  	clear sky	57 14	57 14	3	SE	52 11	82	29.9	10
Thu Feb  4 07:35:35 2010	Denver, Colorado 80214  	mostly cloudy	36 2	28 -2	12	S	18 -8	47	29.81	10
Thu Feb  4 07:35:35 2010	Memphis, Tennessee 37501  	mostly cloudy	39 4	32 0	10	NE	28 -2	65	30.23	10
Thu Feb  4 07:35:35 2010	Los Angeles, California 90001  	clear sky	57 14	57 14	0		52 11	82	29.83	10
Thu Feb  4 07:35:36 2010	New York, New York 10001  	clear sky	30 -1	23 -5	24-Jul	W	19 -7	64	30.17	10
Thu Feb  4 07:35:36 2010	Baltimore, Maryland 21201  	normal	36 2	36 2			25 -4	64	30.25	
