5	www.nytimes.com							
(Timestamp)	(Location)	(Temperature) (°F °C)	(Conditions)	Humidity (%)	Barometer (in)	Visibility (mi)	(Wind Speed) (mph)	Wind
Sun Jan 31 11:46:56 2010	New York	16 -9 	Clear	47	30.06	10	7	N
Sun Jan 31 11:46:57 2010	Las Vegas	44 7 	Partly Cloudy	73	29.9	10	0	CLM
Sun Jan 31 11:46:58 2010	Washington	17 -8 	Partly Cloudy	53	30.13	10	10	NNW
Sun Jan 31 11:46:59 2010	Austin	32 0 	Cloudy	86	30.27	7	8	NE
Sun Jan 31 11:47:00 2010	Oklahoma City	21 -6 	Dense Fog	94	30.26	0	5	SSE
Sun Jan 31 11:47:00 2010	San Francisco	46 8 		93	30.04	9	2	SSE
Sun Jan 31 11:47:01 2010	Nashville	15 -9 	Clear	87	30.27	7	0	CLM
Sun Jan 31 11:47:02 2010	Fort Worth	31 -1 	Cloudy	78	30.3	10	0	CLM
Sun Jan 31 11:47:04 2010	Phoenix	52 11 	Clear	56	29.86	10	5	NE
Sun Jan 31 11:47:04 2010	Portland	43 6 	Light Rain	96	30	7	0	CLM
Sun Jan 31 11:47:05 2010	Chicago	19 -7 	Cloudy	73	30.19	10	8	W
Sun Jan 31 11:47:06 2010	San Antonio	32 0 	Cloudy	86	30.24	6	6	ENE
Sun Jan 31 11:47:07 2010	Indianapolis	15-May	Clear	92	30.21	10	0	CLM
Sun Jan 31 11:47:08 2010	Boston	14 -10 		42	30	10	13	NNW
Sun Jan 31 11:47:08 2010	Jacksonville	43 6 	Cloudy	73	30.05	10	13	N
Sun Jan 31 11:47:09 2010	Columbus	11-Dec	Clear	84	30.22	10	0	CLM
Sun Jan 31 11:47:10 2010	Dallas	31 -1 	Cloudy	82	30.3	10	3	E
Sun Jan 31 11:47:11 2010	Houston	35 2 	Cloudy	75	30.28	9	9	NE
Sun Jan 31 11:47:11 2010	Seattle	45 7 	Light Fog	93	29.98	1	5	S
Sun Jan 31 11:47:12 2010	Milwaukee	11-Dec	Mostly Clear	72	30.14	10	6	WSW
Sun Jan 31 11:47:13 2010	Detroit	12-Nov	Partly Cloudy	80	30.2	10	7	WSW
Sun Jan 31 11:47:14 2010	Philadelphia	16 -9 	Clear	51	30.08	10	13	N
Sun Jan 31 12:29:40 2010	San Jose	47 8 		90	30.02	8	3	NE
Sun Jan 31 12:29:41 2010	Charlotte	16 -9 	Clear	91	30.14	9	0	CLM
Sun Jan 31 12:29:41 2010	San Diego	49 9 	Cloudy	89	29.94	5	0	CLM
Sun Jan 31 12:29:42 2010	Denver	26 -3 	Mostly Clear	77	29.87	10	7	W
Sun Jan 31 12:29:43 2010	Memphis	21 -6 	Clear	77	30.3	9	0	CLM
Sun Jan 31 12:29:44 2010	Los Angeles	44 7 	Clear	85	29.91	9	0	CLM
Sun Jan 31 12:29:45 2010	El Paso	39 4 	Cloudy	79	29.94	10	5	N
Sun Jan 31 12:29:45 2010	New York	15 -9 	Clear	49	30.06	10	8	NNW
Sun Jan 31 12:29:46 2010	Baltimore	13 -11 	Partly Cloudy	58	30.14	10	5	NW
Sun Jan 31 12:29:47 2010	Las Vegas	42 6 	Partly Cloudy	78	29.91	10	6	SSW
Sun Jan 31 12:29:48 2010	Washington	17 -8 		51	30.16	10	10	NNW
Sun Jan 31 12:29:49 2010	Austin	30 -1 	Cloudy	92	30.27	6	9	ENE
Sun Jan 31 12:29:49 2010	San Francisco	46 8 	Mostly Cloudy	93	30.04	9	2	SSE
Sun Jan 31 12:29:50 2010	Oklahoma City	22 -6 	Dense Fog	97	30.22	0	0	CLM
Sun Jan 31 12:29:51 2010	Nashville	14 -10 	Clear	91	30.3	6	0	CLM
Sun Jan 31 12:29:52 2010	Fort Worth	31 -1 	Cloudy	78	30.3	10	0	CLM
Sun Jan 31 12:29:53 2010	Phoenix	52 11 	Clear	56	29.85	10	7	NNE
Sun Jan 31 12:29:53 2010	Portland	43 6 	Rain	100	30.01	3	0	CLM
Sun Jan 31 12:29:54 2010	Chicago	18 -8 	Cloudy	77	30.25	10	5	WSW
Sun Jan 31 12:29:55 2010	San Antonio	32 0 	Cloudy	88	30.23	6	7	ENE
Sun Jan 31 12:29:56 2010	Indianapolis	15-May	Mostly Clear	92	30.22	10	0	CLM
Sun Jan 31 12:29:57 2010	Boston	14 -10 		33	30.02	10	14	NNW
Sun Jan 31 12:29:57 2010	Jacksonville	42 6 	Cloudy	76	30.08	10	16	NNE
Sun Jan 31 12:29:58 2010	Columbus	12-Nov	Clear	80	30.24	10	0	CLM
Sun Jan 31 12:29:59 2010	Dallas	31 -1 	Cloudy	82	30.31	10	0	CLM
Sun Jan 31 12:30:00 2010	Houston	34 1 	Cloudy	78	30.27	9	12	N
Sun Jan 31 12:30:00 2010	Seattle	45 7 	Light Fog	92	29.98	1	5	S
Sun Jan 31 12:30:01 2010	Milwaukee	11-Dec	Cloudy	72	30.15	10	7	WSW
Sun Jan 31 12:30:02 2010	Detroit	12-Nov	Mostly Cloudy	80	30.2	10	7	SW
Sun Jan 31 12:30:04 2010	Philadelphia	15 -9 	Clear	53	30.1	10	9	NNW
Sun Jan 31 13:13:56 2010	San Jose	46 8 		89	30.02	7	3	NNE
Sun Jan 31 13:13:57 2010	Charlotte	16 -9 	Partly Cloudy	91	30.14	9	0	CLM
Sun Jan 31 13:13:58 2010	San Diego	50 10 	Cloudy	87	29.94	6	0	CLM
Sun Jan 31 13:13:59 2010	Denver	26 -3 	Cloudy	77	29.87	10	7	W
Sun Jan 31 13:14:00 2010	Los Angeles	44 7 	Clear	85	29.91	9	0	CLM
Sun Jan 31 13:14:00 2010	Memphis	21 -6 	Partly Cloudy	77	30.3	9	0	CLM
Sun Jan 31 13:14:01 2010	El Paso	39 4 	Cloudy	79	29.94	10	5	N
Sun Jan 31 13:14:02 2010	New York	15 -9 	Clear	49	30.06	10	8	NNW
Sun Jan 31 13:14:03 2010	Baltimore	13 -11 	Partly Cloudy	58	30.14	10	5	NW
Sun Jan 31 13:14:04 2010	Las Vegas	42 6 	Partly Cloudy	78	29.91	10	6	SSW
Sun Jan 31 13:14:04 2010	Washington	17 -8 		51	30.16	10	10	NNW
Sun Jan 31 13:14:05 2010	Austin	30 -1 	Cloudy	92	30.28	7	7	NE
Sun Jan 31 13:14:06 2010	San Francisco	46 8 	Mostly Cloudy	94	30.03	8	3	S
Sun Jan 31 13:14:07 2010	Oklahoma City	22 -6 	Dense Fog	97	30.22	0	0	CLM
Sun Jan 31 13:14:08 2010	Fort Worth	31 -1 	Cloudy	78	30.3	10	0	CLM
Sun Jan 31 13:14:08 2010	Nashville	14 -10 	Partly Cloudy	91	30.3	6	0	CLM
Sun Jan 31 13:14:09 2010	Phoenix	52 11 	Mostly Clear	56	29.85	10	7	NNE
Sun Jan 31 13:14:10 2010	Portland	43 6 	Rain	100	30.01	3	0	CLM
Sun Jan 31 13:14:11 2010	Chicago	18 -8 	Cloudy	77	30.25	10	5	WSW
Sun Jan 31 13:14:11 2010	San Antonio	32 0 	Cloudy	88	30.23	6	7	ENE
Sun Jan 31 13:14:12 2010	Indianapolis	15-May	Mostly Clear	92	30.24	10	0	CLM
Sun Jan 31 13:14:13 2010	Boston	14 -10 		33	30.02	10	14	NNW
Sun Jan 31 13:14:14 2010	Jacksonville	42 6 	Cloudy	76	30.08	10	16	NNE
Sun Jan 31 13:14:15 2010	Columbus	12-Nov	Clear	80	30.24	10	0	CLM
Sun Jan 31 13:14:15 2010	Dallas	31 -1 	Cloudy	82	30.31	10	0	CLM
Sun Jan 31 13:14:16 2010	Houston	34 1 	Cloudy	78	30.27	9	12	N
Sun Jan 31 13:14:17 2010	Seattle	45 7 	Cloudy	100	29.97	4	3	S
Sun Jan 31 13:14:18 2010	Milwaukee	11-Dec	Mostly Cloudy	72	30.15	10	6	WSW
Sun Jan 31 13:14:19 2010	Detroit	12-Nov	Mostly Cloudy	80	30.2	10	7	SW
Sun Jan 31 13:14:19 2010	Philadelphia	15 -9 	Mostly Clear	53	30.1	10	9	NNW
Sun Jan 31 13:56:42 2010	San Jose	47 8 	Mostly Cloudy	88	30.02	7	2	N
Sun Jan 31 13:56:43 2010	Charlotte	16 -9 	Partly Cloudy	87	30.17	8	0	CLM
Sun Jan 31 13:56:43 2010	San Diego	50 10 	Cloudy	86	29.93	6	3	NNE
Sun Jan 31 13:56:44 2010	Denver	26 -3 	Cloudy	77	29.88	10	7	W
Sun Jan 31 13:56:45 2010	Memphis	20 -7 	Clear	81	30.32	10	0	CLM
Sun Jan 31 13:56:46 2010	Los Angeles	43 6 	Clear	88	29.91	8	0	CLM
Sun Jan 31 13:56:47 2010	El Paso	39 4 	Cloudy	79	29.94	10	6	N
Sun Jan 31 13:56:47 2010	New York	14 -10 	Mostly Clear	51	30.07	10	6	N
Sun Jan 31 13:56:48 2010	Baltimore	13-Sep		64	30.17	10	6	WNW
Sun Jan 31 13:56:49 2010	Las Vegas	43 6 	Partly Cloudy	73	29.9	10	5	SSW
Sun Jan 31 13:56:50 2010	Washington	16 -9 		53	30.18	10	13	NNW
Sun Jan 31 13:56:51 2010	Austin	30 -1 	Cloudy	92	30.29	7	9	ENE
Sun Jan 31 13:56:51 2010	San Francisco	46 8 	Cloudy	94	30.03	8	2	SSE
Sun Jan 31 13:56:52 2010	Oklahoma City	22 -6 	Dense Fog	92	30.23	0	5	S
Sun Jan 31 13:56:53 2010	Nashville	15 -9 	Clear	87	30.32	6	0	CLM
Sun Jan 31 13:56:54 2010	Fort Worth	31 -1 	Cloudy	82	30.31	10	0	CLM
Sun Jan 31 13:56:54 2010	Phoenix	51 11 	Clear	58	29.85	10	5	ENE
Sun Jan 31 13:56:55 2010	Portland	43 6 	Cloudy	100	30	7	0	CLM
Sun Jan 31 13:56:56 2010	Chicago	17 -8 	Mostly Clear	80	30.26	7	7	WSW
Sun Jan 31 13:56:57 2010	San Antonio	32 0 	Cloudy	88	30.24	5	8	ENE
Sun Jan 31 13:56:58 2010	Boston	13 -11 	Partly Sunny	38	30.03	10	12	NNW
Sun Jan 31 13:56:58 2010	Indianapolis	13-Aug	Partly Cloudy	86	30.24	7	1	CLM
Sun Jan 31 13:56:59 2010	Jacksonville	40 4 	Cloudy	76	30.12	10	8	N
Sun Jan 31 13:57:00 2010	Columbus	12-Oct	Clear	83	30.25	10	0	CLM
Sun Jan 31 13:57:01 2010	Dallas	31 -1 	Cloudy	85	30.32	10	6	E
Sun Jan 31 13:57:02 2010	Houston	35 2 	Cloudy	78	30.3	8	9	N
Sun Jan 31 13:57:03 2010	Milwaukee	14 -10 	Mostly Cloudy	71	30.14	9	7	W
Sun Jan 31 13:57:03 2010	Seattle	45 7 	Rain	96	29.98	4	3	S
Sun Jan 31 13:57:04 2010	Detroit	11-Dec	Cloudy	80	30.2	9	9	SW
Sun Jan 31 13:57:05 2010	Philadelphia	15 -9 	Mostly Clear	51	30.13	10	7	NNW
Sun Jan 31 14:40:29 2010	San Jose	46 8 	Cloudy	89	30.02	6	2	N
Sun Jan 31 14:40:30 2010	Charlotte	17 -8 	Sunny	87	30.21	9	0	CLM
Sun Jan 31 14:40:31 2010	Denver	26 -3 		74	29.89	10	9	W
Sun Jan 31 14:40:31 2010	San Diego	47 8 	Clear	89	29.93	4	0	CLM
Sun Jan 31 14:40:32 2010	Memphis	20 -7 	Clear	81	30.34	10	0	CLM
Sun Jan 31 14:40:33 2010	Los Angeles	43 6 	Clear	88	29.91	10	3	NNW
Sun Jan 31 14:40:34 2010	El Paso	39 4 	Cloudy	79	29.94	10	6	NNE
Sun Jan 31 14:40:35 2010	Baltimore	11-Dec	Mostly Cloudy	61	30.18	10	3	WNW
Sun Jan 31 14:40:35 2010	New York	14 -10 	Sunny	51	30.11	10	3	N
Sun Jan 31 14:40:36 2010	Las Vegas	42 6 	Partly Cloudy	76	29.91	10	5	SSW
Sun Jan 31 14:40:37 2010	Washington	17 -8 		49	30.21	10	12	NW
Sun Jan 31 14:40:38 2010	Austin	30 -1 	Cloudy	92	30.3	7	6	ENE
Sun Jan 31 14:40:39 2010	Oklahoma City	21 -6 	Dense Fog	92	30.23	0	6	S
Sun Jan 31 14:40:39 2010	San Francisco	46 8 	Cloudy	94	30.04	8	3	SSE
Sun Jan 31 14:40:40 2010	Nashville	11-Dec	Sunny	87	30.33	5	3	S
Sun Jan 31 14:40:41 2010	Fort Worth	31 -1 	Cloudy	82	30.31	10	6	ESE
Sun Jan 31 14:40:42 2010	Phoenix	50 10 	Clear	60	29.86	10	3	ENE
Sun Jan 31 14:40:43 2010	Chicago	16 -9 	Clear	80	30.27	8	7	WSW
Sun Jan 31 14:40:43 2010	Portland	43 6 	Cloudy	100	30	8	0	CLM
Sun Jan 31 14:40:44 2010	San Antonio	31 -1 	Cloudy	92	30.26	6	6	NE
Sun Jan 31 14:40:45 2010	Indianapolis	15-May	Partly Sunny	84	30.25	10	3	WSW
Sun Jan 31 14:40:46 2010	Boston	13 -11 	Partly Sunny	38	30.03	10	10	NW
Sun Jan 31 14:40:46 2010	Jacksonville	40 4 	Cloudy	73	30.17	10	8	N
Sun Jan 31 14:40:47 2010	Columbus	12-Nov	Partly Sunny	83	30.28	10	0	CLM
Sun Jan 31 14:40:48 2010	Dallas	31 -1 	Cloudy	82	30.33	10	6	ESE
Sun Jan 31 14:40:49 2010	Houston	35 2 	Cloudy	75	30.31	8	8	N
Sun Jan 31 14:40:50 2010	Milwaukee	12-Oct	Cloudy	72	30.15	10	7	W
Sun Jan 31 14:40:50 2010	Seattle	45 7 	Rain	92	29.97	5	5	S
Sun Jan 31 14:40:51 2010	Detroit	13 -11 	Cloudy	80	30.22	9	9	SW
Sun Jan 31 14:40:52 2010	Philadelphia	15 -9 	Sunny	51	30.15	10	10	NNW
Sun Jan 31 15:24:08 2010	San Jose	43 6 		93	30.02	7	4	NNE
Sun Jan 31 15:24:09 2010	Charlotte	22 -6 	Sunny	92	30.25	8	3	SSW
Sun Jan 31 15:24:10 2010	San Diego	45 7 	Clear	89	29.94	4	3	E
Sun Jan 31 15:24:11 2010	Denver	26 -3 		74	29.9	10	7	W
Sun Jan 31 15:24:11 2010	Memphis	22 -6 	Sunny	84	30.37	10	0	CLM
Sun Jan 31 15:24:12 2010	Los Angeles	43 6 	Clear	82	29.92	10	0	CLM
Sun Jan 31 15:24:13 2010	El Paso	39 4 	Cloudy	79	29.96	10	6	NNE
Sun Jan 31 15:24:14 2010	Baltimore	17 -8 		46	30.2	10	9	NNW
Sun Jan 31 15:24:14 2010	New York	15 -9 	Sunny	49	30.11	10	0	CLM
Sun Jan 31 15:24:15 2010	Las Vegas	42 6 	Partly Cloudy	76	29.93	10	5	W
Sun Jan 31 15:24:16 2010	Washington	19 -7 	Mostly Sunny	47	30.22	10	14	NNW
Sun Jan 31 15:24:17 2010	Austin	32 0 	Cloudy	86	30.31	6	6	NNE
Sun Jan 31 15:24:18 2010	Oklahoma City	23 -5 	Dense Fog	97	30.25	0	6	S
Sun Jan 31 15:24:18 2010	San Francisco	46 8 	Cloudy	92	30.03	8	4	SSE
Sun Jan 31 15:24:19 2010	Nashville	14 -10 	Sunny	95	30.36	10	0	CLM
Sun Jan 31 15:24:20 2010	Fort Worth	31 -1 	Cloudy	82	30.32	10	6	ESE
Sun Jan 31 15:24:21 2010	Phoenix	50 10 	Clear	60	29.88	10	7	NE
Sun Jan 31 15:24:22 2010	Chicago	16 -9 	Partly Sunny	80	30.27	9	6	SW
Sun Jan 31 15:24:22 2010	Portland	45 7 	Rain	93	30.01	4	0	CLM
Sun Jan 31 15:24:23 2010	San Antonio	31 -1 	Cloudy	92	30.26	4	9	ENE
Sun Jan 31 15:24:24 2010	Indianapolis	12-Oct	Partly Sunny	92	30.26	10	0	CLM
Sun Jan 31 15:24:25 2010	Boston	15 -9 	Partly Sunny	35	30.04	10	13	NW
Sun Jan 31 15:24:26 2010	Columbus	13 -11 	Partly Sunny	84	30.3	10	3	W
Sun Jan 31 15:24:26 2010	Jacksonville	41 5 	Cloudy	70	30.18	10	10	N
Sun Jan 31 15:24:27 2010	Dallas	31 -1 	Cloudy	82	30.33	7	3	E
Sun Jan 31 15:24:28 2010	Houston	36 2 	Cloudy	75	30.32	10	9	N
Sun Jan 31 15:24:29 2010	Seattle	45 7 	Rain	92	29.98	6	6	S
Sun Jan 31 15:24:30 2010	Detroit	16 -9 	Cloudy	73	30.22	9	12	SW
Sun Jan 31 15:24:30 2010	Milwaukee	11-Dec	Cloudy	67	30.15	10	8	W
Sun Jan 31 15:24:31 2010	Philadelphia	17 -8 	Sunny	46	30.17	10	10	NNW
Sun Jan 31 16:13:48 2010	Charlotte	22 -6 	Sunny	92	30.25	8	3	SSW
Sun Jan 31 16:13:48 2010	San Jose	44 7 		88	30.02	7	3	NE
Sun Jan 31 16:13:49 2010	San Diego	45 7 	Clear	89	29.94	4	3	E
Sun Jan 31 16:13:50 2010	Denver	26 -3 		74	29.9	10	7	W
Sun Jan 31 16:13:51 2010	Memphis	22 -6 	Sunny	84	30.37	10	0	CLM
Sun Jan 31 16:13:52 2010	El Paso	39 4 	Cloudy	79	29.96	10	6	NNE
Sun Jan 31 16:13:52 2010	Los Angeles	43 6 	Clear	82	29.92	10	0	CLM
Sun Jan 31 16:13:53 2010	New York	15 -9 	Sunny	49	30.11	10	0	CLM
Sun Jan 31 16:13:54 2010	Baltimore	17 -8 		46	30.2	10	9	NNW
Sun Jan 31 16:13:55 2010	Las Vegas	42 6 	Partly Cloudy	76	29.93	10	5	W
Sun Jan 31 16:13:55 2010	Washington	19 -7 	Mostly Sunny	47	30.22	10	14	NNW
Sun Jan 31 16:13:56 2010	Austin	32 0 	Cloudy	86	30.3	5	9	NE
Sun Jan 31 16:13:57 2010	San Francisco	46 8 	Cloudy	94	30.05	8	3	S
Sun Jan 31 16:13:58 2010	Oklahoma City	23 -5 	Dense Fog	97	30.25	0	6	S
Sun Jan 31 16:13:59 2010	Fort Worth	31 -1 	Cloudy	82	30.32	10	6	ESE
Sun Jan 31 16:13:59 2010	Nashville	14 -10 	Sunny	95	30.36	10	0	CLM
Sun Jan 31 16:14:00 2010	Phoenix	50 10 	Partly Cloudy	60	29.88	10	7	NE
Sun Jan 31 16:14:01 2010	Portland	45 7 	Rain	93	30.01	4	0	CLM
Sun Jan 31 16:14:02 2010	Chicago	16 -9 	Partly Sunny	80	30.27	9	6	SW
Sun Jan 31 16:14:03 2010	Indianapolis	16 -9 	Partly Sunny	92	30.26	10	3	W
Sun Jan 31 16:14:03 2010	San Antonio	31 -1 	Cloudy	92	30.26	4	9	ENE
Sun Jan 31 16:14:04 2010	Boston	15 -9 	Partly Sunny	35	30.04	10	13	NW
Sun Jan 31 16:14:05 2010	Jacksonville	41 5 	Cloudy	70	30.18	10	10	N
Sun Jan 31 16:14:06 2010	Columbus	13 -11 	Partly Sunny	84	30.3	10	3	W
Sun Jan 31 16:14:07 2010	Dallas	31 -1 	Cloudy	82	30.33	7	3	E
Sun Jan 31 16:14:07 2010	Houston	36 2 	Cloudy	75	30.32	10	9	N
Sun Jan 31 16:14:08 2010	Seattle	45 7 	Rain	92	29.98	6	6	S
Sun Jan 31 16:14:09 2010	Milwaukee	11-Dec	Cloudy	67	30.15	10	8	W
Sun Jan 31 16:14:10 2010	Detroit	16 -9 	Cloudy	73	30.22	9	12	SW
Sun Jan 31 16:14:11 2010	Philadelphia	17 -8 	Sunny	46	30.17	10	10	NNW
Sun Jan 31 16:57:39 2010	San Jose	48 9 	Cloudy	81	30.05	7	0	CLM
Sun Jan 31 16:57:40 2010	Charlotte	27 -3 	Mostly Sunny	81	30.28	10	0	CLM
Sun Jan 31 16:57:41 2010	San Diego	46 8 	Light Fog	87	29.97	3	0	CLM
Sun Jan 31 16:57:42 2010	Denver	26 -3 		74	29.89	10	6	W
Sun Jan 31 16:57:42 2010	Memphis	25 -4 	Sunny	84	30.38	10	0	CLM
Sun Jan 31 16:57:43 2010	Los Angeles	42 6 	Sunny	85	29.93	8	0	CLM
Sun Jan 31 16:57:44 2010	El Paso	39 4 	Cloudy	82	29.97	10	6	NNE
Sun Jan 31 16:57:45 2010	New York	17 -8 	Sunny	45	30.12	10	9	WNW
Sun Jan 31 16:57:46 2010	Baltimore	19 -7 	Mostly Sunny	41	30.22	10	8	NW
Sun Jan 31 16:57:46 2010	Las Vegas	41 5 	Partly Sunny	79	29.94	10	5	SSW
Sun Jan 31 16:57:47 2010	Washington	22 -6 	Sunny	40	30.24	10	8	NW
Sun Jan 31 16:57:48 2010	Austin	32 0 	Cloudy	86	30.31	6	7	NE
Sun Jan 31 16:57:49 2010	San Francisco	45 7 	Cloudy	93	30.04	8	3	SSE
Sun Jan 31 16:57:50 2010	Nashville	18 -8 	Sunny	96	30.37	9	0	CLM
Sun Jan 31 16:57:50 2010	Oklahoma City	23 -5 	Dense Fog	97	30.26	0	6	S
Sun Jan 31 16:57:51 2010	Fort Worth	31 -1 	Cloudy	82	30.33	10	5	SSE
Sun Jan 31 16:57:52 2010	Phoenix	51 11 	Sunny	58	29.89	10	6	NE
Sun Jan 31 16:57:53 2010	Portland	45 7 	Cloudy	93	30.01	7	0	CLM
Sun Jan 31 16:57:54 2010	Chicago	18 -8 	Partly Sunny	71	30.27	10	10	WSW
Sun Jan 31 16:57:54 2010	San Antonio	32 0 	Cloudy	88	30.27	4	7	NE
Sun Jan 31 16:57:55 2010	Indianapolis	18 -8 	Sunny	100	30.26	10	7	WSW
Sun Jan 31 16:57:56 2010	Boston	18 -8 		37	30.04	10	12	NW
Sun Jan 31 16:57:57 2010	Jacksonville	42 6 	Cloudy	70	30.2	10	14	NNE
Sun Jan 31 16:57:58 2010	Columbus	16 -9 	Partly Sunny	80	30.29	10	0	CLM
Sun Jan 31 16:57:58 2010	Dallas	31 -1 	Cloudy	85	30.34	7	8	SE
Sun Jan 31 16:57:59 2010	Houston	36 2 	Cloudy	75	30.34	10	10	NNE
Sun Jan 31 16:58:00 2010	Seattle	45 7 	Cloudy	96	29.98	6	3	S
Sun Jan 31 16:58:01 2010	Detroit	18 -8 	Cloudy	71	30.2	10	14	SW
Sun Jan 31 16:58:01 2010	Milwaukee	11-Dec	Sunny	67	30.16	10	9	W
Sun Jan 31 16:58:02 2010	Philadelphia	19 -7 	Sunny	43	30.19	10	7	NNW
Sun Jan 31 17:42:11 2010	San Jose	46 8 	Cloudy	87	30.03	7	0	CLM
Sun Jan 31 17:42:12 2010	Charlotte	31 -1 	Mostly Sunny	69	30.3	10	3	NW
Sun Jan 31 17:42:12 2010	San Diego	50 10 	Light Fog	87	29.97	3	0	CLM
Sun Jan 31 17:42:13 2010	Denver	28 -2 		68	29.89	10	7	WNW
Sun Jan 31 17:42:14 2010	Memphis	29 -2 	Sunny	78	30.38	10	3	NE
Sun Jan 31 17:42:15 2010	Los Angeles	44 7 	Sunny	88	29.94	10	0	CLM
Sun Jan 31 17:42:16 2010	El Paso	41 5 	Cloudy	75	29.97	10	6	N
Sun Jan 31 17:42:16 2010	New York	20 -7 	Sunny	39	30.13	10	6	N
Sun Jan 31 17:42:17 2010	Baltimore	23 -5 	Mostly Sunny	33	30.23	10	8	NW
Sun Jan 31 17:42:18 2010	Las Vegas	43 6 	Partly Sunny	73	29.96	10	0	CLM
Sun Jan 31 17:42:19 2010	Austin	32 0 	Cloudy	93	30.31	7	6	NE
Sun Jan 31 17:42:19 2010	Washington	24 -4 	Sunny	34	30.26	10	13	NW
Sun Jan 31 17:42:20 2010	San Francisco	45 7 	Cloudy	94	30.05	8	3	NNE
Sun Jan 31 17:42:21 2010	Oklahoma City	25 -4 	Dense Fog	92	30.27	0	6	S
Sun Jan 31 17:42:22 2010	Nashville	24 -4 	Sunny	77	30.37	9	0	CLM
Sun Jan 31 17:42:23 2010	Fort Worth	31 -1 	Cloudy	85	30.34	10	3	SE
Sun Jan 31 17:42:23 2010	Phoenix	53 12 	Sunny	56	29.91	10	7	NNE
Sun Jan 31 17:42:24 2010	Portland	44 7 	Cloudy	95	30.02	8	0	CLM
Sun Jan 31 17:42:25 2010	Chicago	20 -7 	Partly Sunny	62	30.28	10	12	W
Sun Jan 31 17:42:26 2010	San Antonio	32 0 	Cloudy	92	30.3	4	8	ENE
Sun Jan 31 17:42:27 2010	Boston	22 -6 	Partly Sunny	34	30.03	10	9	WNW
Sun Jan 31 17:42:27 2010	Indianapolis	23 -5 	Sunny	73	30.26	10	8	WSW
Sun Jan 31 17:42:28 2010	Jacksonville	42 6 	Cloudy	70	30.24	10	13	NNE
Sun Jan 31 17:42:29 2010	Columbus	21 -6 	Partly Sunny	62	30.29	10	8	SW
Sun Jan 31 17:42:30 2010	Dallas	32 0 	Cloudy	81	30.35	6	3	SE
Sun Jan 31 17:42:31 2010	Houston	37 3 	Cloudy	75	30.33	10	10	NNE
Sun Jan 31 17:42:31 2010	Seattle	45 7 	Light Fog	100	29.99	2	5	SSW
Sun Jan 31 17:42:32 2010	Milwaukee	14 -10 	Sunny	57	30.17	10	15	W
Sun Jan 31 17:42:33 2010	Detroit	19 -7 	Light Snow	73	30.16	6	14	SW
Sun Jan 31 17:42:34 2010	Philadelphia	22 -6 	Sunny	36	30.19	10	7	N
Sun Jan 31 18:26:10 2010	San Jose	48 9 		81	30.05	7	0	CLM
Sun Jan 31 18:26:11 2010	Charlotte	32 0 	Mostly Sunny	58	30.29	10	0	CLM
Sun Jan 31 18:26:11 2010	San Diego	51 11 	Partly Sunny	96	29.97	4	0	CLM
Sun Jan 31 18:26:12 2010	Denver	30 -1 		69	29.89	10	13	NNW
Sun Jan 31 18:26:13 2010	Memphis	31 -1 	Mostly Sunny	75	30.39	10	3	ENE
Sun Jan 31 18:26:14 2010	Los Angeles	48 9 	Sunny	79	29.95	8	0	CLM
Sun Jan 31 18:26:15 2010	El Paso	44 7 	Cloudy	70	29.98	10	3	NNW
Sun Jan 31 18:26:15 2010	New York	22 -6 	Sunny	38	30.12	10	6	N
Sun Jan 31 18:26:16 2010	Baltimore	24 -4 	Sunny	34	30.22	10	13	W
Sun Jan 31 18:26:17 2010	Las Vegas	48 9 	Partly Sunny	62	29.97	10	0	CLM
Sun Jan 31 18:26:18 2010	Washington	25 -4 	Sunny	35	30.25	10	13	NNW
Sun Jan 31 18:26:19 2010	Austin	32 0 	Cloudy	93	30.3	6	8	ENE
Sun Jan 31 18:26:19 2010	San Francisco	46 8 	Mostly Cloudy	94	30.05	8	3	NE
Sun Jan 31 18:26:20 2010	Oklahoma City	25 -4 	Dense Fog	95	30.27	0	6	S
Sun Jan 31 18:26:21 2010	Nashville	28 -2 	Sunny	68	30.38	10	0	CLM
Sun Jan 31 18:26:22 2010	Fort Worth	32 0 	Cloudy	81	30.33	10	6	SSE
Sun Jan 31 18:26:23 2010	Phoenix	58 14 	Sunny	50	29.91	10	0	CLM
Sun Jan 31 18:26:23 2010	Portland	45 7 	Light Fog	96	30.02	3	3	E
Sun Jan 31 18:26:24 2010	Chicago	24 -4 	Partly Sunny	48	30.28	10	12	W
Sun Jan 31 18:26:25 2010	San Antonio	32 0 	Cloudy	92	30.3	4	7	ENE
Sun Jan 31 18:26:26 2010	Indianapolis	23 -5 	Sunny	73	30.27	10	9	WSW
Sun Jan 31 18:26:27 2010	Boston	25 -4 	Partly Sunny	33	30.01	10	13	NW
Sun Jan 31 18:26:27 2010	Jacksonville	42 6 	Mostly Cloudy	70	30.25	10	14	NNE
Sun Jan 31 18:26:28 2010	Columbus	23 -5 	Partly Sunny	57	30.27	10	10	SW
Sun Jan 31 18:26:29 2010	Dallas	32 0 	Cloudy	81	30.34	6	6	S
Sun Jan 31 18:26:30 2010	Houston	38 3 	Cloudy	75	30.33	8	8	NE
Sun Jan 31 18:26:31 2010	Milwaukee	18 -8 	Sunny	49	30.18	10	14	WSW
