17	www.findlocalweather.com									
(Timestamp)	(Location)	(Conditions)	Temp (°F)	Humidity (%)	(Wind Direction)	Wind Speed (mph)	Barometer (in.)	Dewpoint (°F)	Heat Index (°F) 	Wind Chill (°F)
Sun Jan 31 05:41:43 2010	 Philadelphia PA 	Overcast	19	49	N	12	30	3	19	8
Sun Jan 31 06:26:23 2010	 San Jose CA 	Partly Cloudy	48	94	NW	3	30.03	46	48	47
Sun Jan 31 06:26:24 2010	 Charlotte NC 	Partly Cloudy	23	74	NNE	8	30	16	23	15
Sun Jan 31 06:26:25 2010	 San Diego CA 	Partly Cloudy	55	77	N/A		29.97	48	55	55
Sun Jan 31 06:26:26 2010	 Denver CO 	Mostly Cloudy	32	60	SSW	7	29.94	19	32	26
Sun Jan 31 06:26:26 2010	 Memphis TN 	Clear	25	74	N/A		30.27	18	25	25
Sun Jan 31 06:26:27 2010	 Los Angeles CA 	Clear	54	82	N/A		29.94	48	54	54
Sun Jan 31 06:26:28 2010	 El Paso TX 	Mostly Cloudy	41	76	NNW	6	30.06	34	41	38
Sun Jan 31 06:26:29 2010	 New York City NY 	Overcast	18	49	N	8	30	1	18	8
Sun Jan 31 06:26:30 2010	 Baltimore MD 	Fair	21	49	N/A		30.03	5	21	21
Sun Jan 31 06:26:31 2010	 Las Vegas NV 	Clear	46	76	N	3	29.94	39	46	46
Sun Jan 31 06:26:32 2010	 Washington DC 	Light Snow	18	73	NNW	12	30.06	10	18	6
Sun Jan 31 06:26:33 2010	 Austin TX 	Clear	32	80	NE	3	30.24	27	32	29
Sun Jan 31 06:26:34 2010	 San Francisco CA 	Partly Cloudy	50	88	NW	3	30.06	46	50	50
Sun Jan 31 06:26:35 2010	 Oklahoma City OK 	Fog	19	93	S	3	30.24	18	19	15
Sun Jan 31 06:26:36 2010	 Nashville TN 	Clear	21	80	NNW	5	30.18	16	21	16
Sun Jan 31 06:26:37 2010	 Fort Worth TX 	Overcast	30	75	N/A		30.33	23	30	30
Sun Jan 31 06:26:39 2010	 Phoenix AZ 	Partly Cloudy	57	59	N/A		29.88	43	57	57
Sun Jan 31 06:26:40 2010	 Portland OR 	Light Rain	45	87	N/A		30	41	45	45
Sun Jan 31 06:26:40 2010	 Chicago IL 	Overcast	19	73	SW	3	30.18	12	19	15
Sun Jan 31 06:26:41 2010	 San Antonio TX 	Clear	37	75	NE	7	30.24	30	37	33
Sun Jan 31 06:26:42 2010	 Indianapolis IN 	Partly Cloudy	18	73	NE	3	30.18	10	18	13
Sun Jan 31 06:26:43 2010	 Boston MA 	Overcast	18	45	NNW	8	30	N/A	18	8
Sun Jan 31 06:26:44 2010	 Jacksonville FL 	Overcast	52	77	NNW	15	29.97	45	52	47
Sun Jan 31 06:26:45 2010	 Columbus OH 	Partly Cloudy	14	73	N	3	30.15	7	14	9
Sun Jan 31 06:26:46 2010	 Dallas TX 	Overcast	30	80	NE	7	30.27	25	30	24
Sun Jan 31 06:26:47 2010	 Houston TX 	Overcast	37	70	N	13	30.24	28	37	30
Sun Jan 31 06:26:48 2010	 Seattle WA 	Overcast	46	93	SE	3	29.97	45	46	46
Sun Jan 31 06:26:49 2010	 Milwaukee WI 	Overcast	19	73	SSW	5	30.15	12	19	14
Sun Jan 31 06:26:50 2010	 Detroit MI 	Clear	16	67	SSW	3	30.15	7	16	11
Sun Jan 31 06:26:51 2010	 Philadelphia PA 	Overcast	19	49	N	13	30	3	19	8
Sun Jan 31 07:09:19 2010	 San Jose CA 	Mostly Cloudy	48	94	N/A		30.03	46	48	48
Sun Jan 31 07:09:20 2010	 Charlotte NC 	Partly Cloudy	21	80	NE	5	30	16	21	16
Sun Jan 31 07:09:21 2010	 San Diego CA 	Partly Cloudy	54	82	N/A		29.97	48	54	54
Sun Jan 31 07:09:22 2010	 Denver CO 	Mostly Cloudy	32	60	SSW	6	29.94	19	32	27
Sun Jan 31 07:09:23 2010	 Memphis TN 	Clear	25	74	N/A		30.27	18	25	25
Sun Jan 31 07:09:24 2010	 Los Angeles CA 	Clear	54	82	N/A		29.94	48	54	54
Sun Jan 31 07:09:25 2010	 El Paso TX 	Mostly Cloudy	43	71	N	5	30.03	34	43	40
Sun Jan 31 07:09:26 2010	 New York City NY 	Mostly Cloudy	18	45	N	8	30	N/A	18	8
Sun Jan 31 07:09:27 2010	 Baltimore MD 	Fair	21	45	N/A		30.03	3	21	21
Sun Jan 31 07:09:28 2010	 Las Vegas NV 	Clear	45	76	Variable	7	29.94	37	45	41
Sun Jan 31 07:09:29 2010	 Washington DC 	Overcast	19	58	NW	9	30.06	7	19	10
Sun Jan 31 07:09:30 2010	 Austin TX 	Clear	32	80	NE	5	30.27	27	32	28
Sun Jan 31 07:09:31 2010	 San Francisco CA 	Partly Cloudy	48	94	NNW	6	30.06	46	48	46
Sun Jan 31 07:09:32 2010	 Oklahoma City OK 	Fog	18	100	S	3	30.24	18	18	13
Sun Jan 31 07:09:33 2010	 Nashville TN 	Clear	19	86	N/A		30.18	16	19	19
Sun Jan 31 07:09:33 2010	 Fort Worth TX 	Overcast	30	80	N/A		30.33	25	30	30
Sun Jan 31 07:09:34 2010	 Phoenix AZ 	Clear	55	59	E	5	29.91	41	55	55
Sun Jan 31 07:09:35 2010	 Portland OR 	Overcast	43	93	N/A		30.03	41	43	43
Sun Jan 31 07:09:36 2010	 Chicago IL 	Mostly Cloudy	19	73	SW	5	30.18	12	19	14
Sun Jan 31 07:09:37 2010	 San Antonio TX 	Clear	36	81	ENE	7	30.24	30	36	31
Sun Jan 31 07:09:38 2010	 Indianapolis IN 	Partly Cloudy	16	73	N/A		30.15	9	16	16
Sun Jan 31 07:09:38 2010	 Boston MA 	Overcast	16	48	NNW	12	29.97	N/A	16	4
Sun Jan 31 07:09:39 2010	 Jacksonville FL 	Overcast	48	76	NNW	18	29.97	41	48	42
Sun Jan 31 07:09:40 2010	 Columbus OH 	Overcast	14	79	N/A		30.15	9	14	14
Sun Jan 31 07:09:41 2010	 Dallas TX 	Overcast	30	80	NE	3	30.3	25	30	27
Sun Jan 31 07:09:42 2010	 Houston TX 	Overcast	37	70	N	12	30.24	28	37	31
Sun Jan 31 07:09:43 2010	 Seattle WA 	Overcast	46	93	Variable	3	29.97	45	46	46
Sun Jan 31 07:09:44 2010	 Milwaukee WI 	Mostly Cloudy	19	68	SSW	6	30.15	10	19	12
Sun Jan 31 07:09:45 2010	 Detroit MI 	Clear	14	79	SSW	6	30.15	9	14	6
Sun Jan 31 07:09:46 2010	 Philadelphia PA 	Overcast	19	49	N	10	30	3	19	9
Sun Jan 31 07:52:58 2010	 San Jose CA 	Mostly Cloudy	48	94	N/A		30.03	46	48	48
Sun Jan 31 07:52:59 2010	 Charlotte NC 	Partly Cloudy	21	80	NE	5	30	16	21	16
Sun Jan 31 07:53:00 2010	 San Diego CA 	Partly Cloudy	54	82	N/A		29.97	48	54	54
Sun Jan 31 07:53:01 2010	 Denver CO 	Mostly Cloudy	32	60	SSW	6	29.94	19	32	27
Sun Jan 31 07:53:03 2010	 Memphis TN 	Clear	25	74	N/A		30.27	18	25	25
Sun Jan 31 07:53:04 2010	 Los Angeles CA 	Clear	54	82	N/A		29.94	48	54	54
Sun Jan 31 07:53:05 2010	 El Paso TX 	Mostly Cloudy	43	71	N	5	30.03	34	43	40
Sun Jan 31 07:53:06 2010	 New York City NY 	Mostly Cloudy	18	45	N	8	30	N/A	18	8
Sun Jan 31 07:53:07 2010	 Baltimore MD 	Fair	21	45	N/A		30.03	3	21	21
Sun Jan 31 07:53:08 2010	 Las Vegas NV 	Clear	45	76	Variable	7	29.94	37	45	41
Sun Jan 31 07:53:09 2010	 Washington DC 	Overcast	19	58	NW	9	30.06	7	19	10
Sun Jan 31 07:53:10 2010	 Austin TX 	Clear	32	80	NE	5	30.27	27	32	28
Sun Jan 31 07:53:10 2010	 San Francisco CA 	Partly Cloudy	48	94	NNW	6	30.06	46	48	46
Sun Jan 31 07:53:11 2010	 Oklahoma City OK 	Fog	18	100	S	3	30.24	18	18	13
Sun Jan 31 07:53:12 2010	 Nashville TN 	Clear	19	86	N/A		30.18	16	19	19
Sun Jan 31 07:53:13 2010	 Fort Worth TX 	Overcast	30	80	N/A		30.33	25	30	30
Sun Jan 31 07:53:14 2010	 Phoenix AZ 	Clear	55	59	E	5	29.91	41	55	55
Sun Jan 31 07:53:15 2010	 Portland OR 	Overcast	43	93	N/A		30.03	41	43	43
Sun Jan 31 07:53:16 2010	 Chicago IL 	Mostly Cloudy	19	73	SW	5	30.18	12	19	14
Sun Jan 31 07:53:17 2010	 San Antonio TX 	Clear	36	81	ENE	7	30.24	30	36	31
Sun Jan 31 07:53:18 2010	 Indianapolis IN 	Partly Cloudy	16	73	N/A		30.15	9	16	16
Sun Jan 31 07:53:19 2010	 Boston MA 	Overcast	16	48	NNW	12	29.97	N/A	16	4
Sun Jan 31 07:53:20 2010	 Jacksonville FL 	Overcast	48	71	NNW	16	29.97	39	48	42
Sun Jan 31 07:53:21 2010	 Columbus OH 	Overcast	14	79	N/A		30.15	9	14	14
Sun Jan 31 07:53:22 2010	 Dallas TX 	Overcast	30	80	NE	3	30.3	25	30	27
Sun Jan 31 07:53:23 2010	 Houston TX 	Overcast	37	70	N	12	30.24	28	37	31
Sun Jan 31 07:56:23 2010										
Sun Jan 31 07:56:24 2010	 Milwaukee WI 	Mostly Cloudy	19	68	SSW	6	30.15	10	19	12
Sun Jan 31 07:56:25 2010	 Detroit MI 	Clear	14	79	SSW	6	30.15	9	14	6
Sun Jan 31 07:56:26 2010	 Philadelphia PA 	Overcast	19	49	N	10	30	3	19	9
Sun Jan 31 08:40:44 2010	 San Jose CA 	Overcast	50	88	N/A		30.06	46	50	50
Sun Jan 31 08:40:45 2010	 Charlotte NC 	Partly Cloudy	21	80	N	3	30.03	16	21	17
Sun Jan 31 08:40:46 2010	 San Diego CA 	Hazy	54	82	N/A		29.97	48	54	54
Sun Jan 31 08:40:47 2010	 Denver CO 	Mostly Cloudy	30	64	SSW	6	29.94	19	30	25
Sun Jan 31 08:40:48 2010	 Memphis TN 	Clear	21	80	N	7	30.27	16	21	13
Sun Jan 31 08:40:49 2010	 Los Angeles CA 	Clear	54	82	N/A		29.94	48	54	54
Sun Jan 31 08:40:50 2010	 El Paso TX 	Overcast	43	71	NE	5	30.03	34	43	40
Sun Jan 31 08:40:52 2010	 New York City NY 	Clear	18	45	N	8	30	N/A	18	8
Sun Jan 31 08:40:53 2010	 Baltimore MD 	Fair	21	45	N/A		30.03	3	21	21
Sun Jan 31 08:40:54 2010	 Las Vegas NV 	Clear	46	71	W	3	29.94	37	46	46
Sun Jan 31 08:40:55 2010	 Washington DC 	Overcast	19	53	NNW	15	30.06	5	19	6
Sun Jan 31 08:40:55 2010	 Austin TX 	Mostly Cloudy	30	86	Variable	6	30.24	27	30	25
Sun Jan 31 08:40:56 2010	 San Francisco CA 	Partly Cloudy	48	87	N/A		30.06	45	48	48
Sun Jan 31 08:40:57 2010	 Oklahoma City OK 	Fog	18	100	N/A		30.24	18	18	18
Sun Jan 31 08:40:58 2010	 Nashville TN 	Clear	16	93	N/A		30.21	14	16	16
Sun Jan 31 08:41:00 2010	 Fort Worth TX 	Overcast	28	80	N/A		30.33	23	28	28
Sun Jan 31 08:41:01 2010	 Phoenix AZ 	Clear	54	67	ESE	5	29.88	43	54	53
Sun Jan 31 08:41:02 2010	 Portland OR 	Overcast	43	93	E	3	30.03	41	43	41
Sun Jan 31 08:41:03 2010	 Chicago IL 	Mostly Cloudy	19	73	SW	5	30.18	12	19	14
Sun Jan 31 08:41:04 2010	 San Antonio TX 	Clear	36	75	ENE	7	30.24	28	36	31
Sun Jan 31 08:41:05 2010	 Indianapolis IN 	Partly Cloudy	16	79	SE	3	30.15	10	16	11
Sun Jan 31 08:41:06 2010	 Boston MA 	Overcast	16	48	NNW	12	29.97	N/A	16	4
Sun Jan 31 08:41:07 2010	 Jacksonville FL 	Mostly Cloudy	48	71	NW	12	30	39	48	44
Sun Jan 31 08:41:08 2010	 Columbus OH 	Mostly Cloudy	14	73	NNW	3	30.15	7	14	9
Sun Jan 31 08:41:08 2010	 Dallas TX 	Overcast	30	80	NE	6	30.27	25	30	25
Sun Jan 31 08:41:09 2010	 Houston TX 	Overcast	36	75	NE	8	30.24	28	36	30
Sun Jan 31 08:41:10 2010	 Seattle WA 	Overcast	46	93	N/A		29.97	45	46	46
Sun Jan 31 08:41:11 2010	 Milwaukee WI 	Partly Cloudy	18	73	SSW	5	30.15	10	18	11
Sun Jan 31 08:41:12 2010	 Detroit MI 	Clear	14	79	SSW	6	30.15	9	14	6
Sun Jan 31 08:41:13 2010	 Philadelphia PA 	Overcast	19	45	N	13	30	1	19	8
Sun Jan 31 09:23:58 2010	 San Jose CA 	Overcast	50	88	N/A		30.03	46	50	50
Sun Jan 31 09:23:59 2010	 Charlotte NC 	Clear	19	86	N	5	30.03	16	19	14
Sun Jan 31 09:24:00 2010	 San Diego CA 	Partly Cloudy	54	82	N/A		29.97	48	54	54
Sun Jan 31 09:24:01 2010	 Denver CO 	Mostly Cloudy	30	64	SW	6	29.91	19	30	25
Sun Jan 31 09:24:02 2010	 Memphis TN 	Clear	21	80	N/A		30.27	16	21	21
Sun Jan 31 09:24:03 2010	 Los Angeles CA 	Clear	54	82	N/A		29.94	48	54	54
Sun Jan 31 09:24:04 2010	 El Paso TX 	Overcast	41	76	NNE	7	30.03	34	41	37
Sun Jan 31 09:24:05 2010	 New York City NY 	Clear	18	45	NE	8	30.03	N/A	18	8
Sun Jan 31 09:24:06 2010	 Baltimore MD 	Fair	19	49	N/A		30.06	3	19	19
Sun Jan 31 09:24:07 2010	 Las Vegas NV 	Clear	45	71	N/A		29.94	36	45	45
Sun Jan 31 09:24:08 2010	 Washington DC 	Mostly Cloudy	19	49	NNW	14	30.06	3	19	7
Sun Jan 31 09:24:09 2010	 Austin TX 	Overcast	32	87	Variable	5	30.24	28	32	28
Sun Jan 31 09:24:10 2010	 San Francisco CA 	Partly Cloudy	46	93	N/A		30.06	45	46	46
Sun Jan 31 09:24:11 2010	 Oklahoma City OK 	Fog	19	93	S	5	30.24	18	19	14
Sun Jan 31 09:24:12 2010	 Nashville TN 	Clear	19	86	NW	6	30.21	16	19	12
Sun Jan 31 09:24:13 2010	 Fort Worth TX 	Overcast	28	80	N/A		30.33	23	28	28
Sun Jan 31 09:24:15 2010	 Phoenix AZ 	Clear	52	72	ESE	3	29.88	43	52	52
Sun Jan 31 09:24:16 2010	 Portland OR 	Light Rain	43	100	N/A		30	43	43	43
Sun Jan 31 09:24:17 2010	 Chicago IL 	Mostly Cloudy	18	79	SSW	6	30.18	12	18	10
Sun Jan 31 09:24:18 2010	 San Antonio TX 	Clear	34	81	ENE	7	30.24	28	34	28
Sun Jan 31 09:24:19 2010	 Indianapolis IN 	Partly Cloudy	16	79	SE	5	30.18	10	16	10
Sun Jan 31 09:24:20 2010	 Boston MA 	Overcast	16	45	NNW	13	29.97	-2	16	3
Sun Jan 31 09:24:20 2010	 Jacksonville FL 	Overcast	46	76	NNW	12	30	39	46	42
Sun Jan 31 09:24:21 2010	 Columbus OH 	Mostly Cloudy	14	79	N	3	30.15	9	14	9
Sun Jan 31 09:24:22 2010	 Dallas TX 	Overcast	30	86	E	6	30.27	27	30	25
Sun Jan 31 09:24:23 2010	 Houston TX 	Overcast	36	75	NE	10	30.24	28	36	29
Sun Jan 31 09:24:24 2010	 Seattle WA 	Overcast	46	93	SSE	3	29.97	45	46	46
Sun Jan 31 09:24:25 2010	 Milwaukee WI 	Mostly Cloudy	18	68	SSW	6	30.15	9	18	10
Sun Jan 31 09:24:26 2010	 Detroit MI 	Clear	14	79	SSW	6	30.15	9	14	6
Sun Jan 31 09:24:27 2010	 Philadelphia PA 	Overcast	19	45	N	10	30.03	1	19	9
Sun Jan 31 10:07:04 2010	 San Jose CA 	Overcast	50	88	N/A		30.03	46	50	50
Sun Jan 31 10:07:04 2010	 Charlotte NC 	Clear	19	86	N	5	30.03	16	19	14
Sun Jan 31 10:07:05 2010	 San Diego CA 	Fog And Mist	52	88	N/A		29.97	48	52	52
Sun Jan 31 10:07:06 2010	 Denver CO 	Mostly Cloudy	30	64	SW	6	29.91	19	30	25
Sun Jan 31 10:07:07 2010	 Memphis TN 	Clear	21	80	N/A		30.27	16	21	21
Sun Jan 31 10:07:09 2010	 Los Angeles CA 	Clear	54	82	N/A		29.94	48	54	54
Sun Jan 31 10:07:10 2010	 El Paso TX 	Overcast	41	76	NNE	7	30.03	34	41	37
Sun Jan 31 10:07:11 2010	 New York City NY 	Clear	18	45	NE	8	30.03	N/A	18	8
Sun Jan 31 10:07:12 2010	 Baltimore MD 	Fair	19	49	N/A		30.06	3	19	19
Sun Jan 31 10:07:13 2010	 Las Vegas NV 	Clear	45	71	N/A		29.94	36	45	45
Sun Jan 31 10:07:14 2010	 Washington DC 	Mostly Cloudy	19	49	NNW	14	30.06	3	19	7
Sun Jan 31 10:07:15 2010	 Austin TX 	Overcast	32	87	Variable	5	30.24	28	32	28
Sun Jan 31 10:07:16 2010	 San Francisco CA 	Partly Cloudy	46	93	N/A		30.06	45	46	46
Sun Jan 31 10:07:17 2010	 Oklahoma City OK 	Fog	19	93	S	5	30.24	18	19	14
Sun Jan 31 10:07:18 2010	 Nashville TN 	Clear	19	86	NW	6	30.21	16	19	12
Sun Jan 31 10:07:19 2010	 Fort Worth TX 	Overcast	28	80	N/A		30.33	23	28	28
Sun Jan 31 10:07:20 2010	 Phoenix AZ 	Clear	52	72	ESE	3	29.88	43	52	52
Sun Jan 31 10:07:21 2010	 Portland OR 	Light Rain	43	100	N/A		30	43	43	43
Sun Jan 31 10:07:22 2010	 Chicago IL 	Overcast	19	73	W	5	30.18	12	19	14
Sun Jan 31 10:07:23 2010	 San Antonio TX 	Clear	34	81	ENE	7	30.24	28	34	28
Sun Jan 31 10:07:24 2010	 Indianapolis IN 	Partly Cloudy	16	79	SE	5	30.18	10	16	10
Sun Jan 31 10:07:25 2010	 Boston MA 	Overcast	16	45	NNW	13	29.97	-2	16	3
Sun Jan 31 10:07:26 2010	 Jacksonville FL 	Overcast	46	76	NNW	12	30	39	46	42
Sun Jan 31 10:07:27 2010	 Columbus OH 	Mostly Cloudy	14	79	N	3	30.15	9	14	9
Sun Jan 31 10:07:28 2010	 Dallas TX 	Overcast	30	86	E	6	30.27	27	30	25
Sun Jan 31 10:07:29 2010	 Houston TX 	Overcast	36	75	NE	10	30.24	28	36	29
Sun Jan 31 10:07:30 2010	 Seattle WA 	Overcast	46	93	SSE	3	29.97	45	46	46
Sun Jan 31 10:07:31 2010	 Milwaukee WI 	Mostly Cloudy	18	68	SSW	6	30.15	9	18	10
Sun Jan 31 10:07:32 2010	 Detroit MI 	Clear	14	79	SSW	6	30.15	9	14	6
Sun Jan 31 10:07:34 2010	 Philadelphia PA 	Overcast	19	45	N	10	30.03	1	19	9
Sun Jan 31 10:50:58 2010	 San Jose CA 	Overcast	50	88	N/A		30.03	46	50	50
Sun Jan 31 10:50:59 2010	 Charlotte NC 	Clear	19	86	N	3	30.06	16	19	15
Sun Jan 31 10:51:01 2010	 San Diego CA 	Hazy	52	82	N/A		29.97	46	52	52
Sun Jan 31 10:51:02 2010	 Denver CO 	Mostly Cloudy	30	64	W	8	29.88	19	30	23
Sun Jan 31 10:51:03 2010	 Memphis TN 	Clear	19	86	N/A		30.3	16	19	19
Sun Jan 31 10:51:04 2010	 Los Angeles CA 	Clear	54	82	N/A		29.94	48	54	54
Sun Jan 31 10:51:04 2010	 El Paso TX 	Overcast	39	81	N	7	30.03	34	39	35
Sun Jan 31 10:51:06 2010	 New York City NY 	Clear	18	45	Variable	7	30.03	N/A	18	9
Sun Jan 31 10:51:06 2010	 Baltimore MD 	Fair	19	49	N/A		30.09	3	19	19
Sun Jan 31 10:51:07 2010	 Las Vegas NV 	Clear	43	76	NW	6	29.94	36	43	40
Sun Jan 31 10:51:09 2010	 Washington DC 	Partly Cloudy	19	49	NNW	13	30.09	3	19	8
Sun Jan 31 10:51:09 2010	 Austin TX 	Overcast	30	93	Variable	3	30.24	28	30	27
Sun Jan 31 10:51:10 2010	 San Francisco CA 	Partly Cloudy	45	93	N/A		30.03	43	45	45
Sun Jan 31 10:51:11 2010	 Oklahoma City OK 	Fog	21	93	S	5	30.24	19	21	16
Sun Jan 31 10:51:12 2010	 Nashville TN 	Clear	18	79	W	5	30.24	12	18	11
Sun Jan 31 10:51:13 2010	 Fort Worth TX 	Overcast	28	86	N/A		30.33	25	28	28
Sun Jan 31 10:51:14 2010	 Phoenix AZ 	Clear	52	67	E	3	29.88	41	52	52
Sun Jan 31 10:51:16 2010	 Portland OR 	Overcast	43	100	E	3	30	43	43	41
Sun Jan 31 10:51:17 2010	 Chicago IL 	Overcast	19	73	W	7	30.18	12	19	11
Sun Jan 31 10:51:17 2010	 San Antonio TX 	Clear	32	87	ENE	7	30.24	28	32	26
Sun Jan 31 10:51:18 2010	 Indianapolis IN 	Partly Cloudy	12	85	N/A		30.18	9	12	12
Sun Jan 31 10:51:19 2010	 Boston MA 	Overcast	16	45	NW	13	29.97	-2	16	3
Sun Jan 31 10:51:20 2010	 Jacksonville FL 	Overcast	46	71	N	14	30.03	37	46	41
Sun Jan 31 10:51:21 2010	 Columbus OH 	Clear	12	85	N/A		30.15	9	12	12
Sun Jan 31 10:51:22 2010	 Dallas TX 	Overcast	30	86	N/A		30.27	27	30	30
Sun Jan 31 10:51:23 2010	 Houston TX 	Overcast	36	75	NE	7	30.24	28	36	31
Sun Jan 31 10:51:24 2010	 Seattle WA 	Light Rain	46	93	Variable	3	29.97	45	46	46
Sun Jan 31 10:51:25 2010	 Milwaukee WI 	Partly Cloudy	16	73	SSW	5	30.12	9	16	10
Sun Jan 31 10:51:26 2010	 Detroit MI 	Clear	12	79	SSW	8	30.15	7	12	2
Sun Jan 31 10:51:27 2010	 Philadelphia PA 	Mostly Cloudy	18	53	NNW	13	30.06	3	18	5
Sun Jan 31 11:34:18 2010	 San Jose CA 	Overcast	50	88	S	3	30.03	46	50	50
Sun Jan 31 11:34:19 2010	 Charlotte NC 	Clear	16	93	N/A		30.09	14	16	16
Sun Jan 31 11:34:20 2010	 San Diego CA 	Mostly Cloudy	52	82	N/A		29.97	46	52	52
Sun Jan 31 11:34:21 2010	 Denver CO 	Mostly Cloudy	30	64	SSW	7	29.91	19	30	24
Sun Jan 31 11:34:22 2010	 Memphis TN 	Clear	21	80	N/A		30.3	16	21	21
Sun Jan 31 11:34:22 2010	 Los Angeles CA 	Fog And Mist	52	82	N/A		29.94	46	52	52
Sun Jan 31 11:34:23 2010	 El Paso TX 	Mostly Cloudy	39	81	NNE	6	30.03	34	39	35
Sun Jan 31 11:34:24 2010	 New York City NY 	Clear	16	48	Variable	7	30.06	N/A	16	7
Sun Jan 31 11:34:25 2010	 Baltimore MD 	Fair	18	49	N/A		30.12	1	18	18
Sun Jan 31 11:34:26 2010	 Las Vegas NV 	Clear	46	66	NNW	9	29.94	36	46	42
Sun Jan 31 11:34:27 2010	 Washington DC 	Partly Cloudy	18	53	NNW	10	30.12	3	18	7
Sun Jan 31 11:34:28 2010	 Austin TX 	Overcast	30	86	Variable	3	30.27	27	30	27
Sun Jan 31 11:34:29 2010	 San Francisco CA 	Partly Cloudy	43	100	ENE	3	30.03	43	43	41
Sun Jan 31 11:34:30 2010	 Oklahoma City OK 	Fog	21	93	SSE	5	30.21	19	21	16
Sun Jan 31 11:34:31 2010	 Nashville TN 	Clear	16	86	N/A		30.24	12	16	16
Sun Jan 31 11:34:32 2010	 Fort Worth TX 	Overcast	28	86	N/A		30.33	25	28	28
Sun Jan 31 11:34:33 2010	 Phoenix AZ 	Clear	50	76	N/A		29.88	43	50	50
Sun Jan 31 11:34:34 2010	 Portland OR 	Light Rain	43	100	E	3	30	43	43	41
Sun Jan 31 11:34:35 2010	 Chicago IL 	Mostly Cloudy	19	73	SSW	8	30.18	12	19	10
Sun Jan 31 11:34:36 2010	 San Antonio TX 	Clear	32	87	ENE	6	30.24	28	32	27
Sun Jan 31 11:34:38 2010	 Indianapolis IN 	Partly Cloudy	9	92	WNW	5	30.21	7	9	1
Sun Jan 31 11:34:39 2010	 Boston MA 	Mostly Cloudy	14	41	NNW	13	30	-6	14	1
Sun Jan 31 11:34:40 2010	 Jacksonville FL 	Overcast	45	71	N	16	30.06	36	45	38
Sun Jan 31 11:34:40 2010	 Columbus OH 	Clear	12	85	N/A		30.18	9	12	12
Sun Jan 31 11:34:41 2010	 Dallas TX 	Overcast	30	86	E	3	30.3	27	30	27
Sun Jan 31 11:34:42 2010	 Houston TX 	Overcast	36	75	NE	9	30.24	28	36	29
Sun Jan 31 11:34:43 2010	 Seattle WA 	Light Rain	46	93	S	3	29.97	45	46	46
Sun Jan 31 11:34:44 2010	 Milwaukee WI 	Partly Cloudy	16	67	SSW	5	30.12	7	16	10
Sun Jan 31 11:34:45 2010	 Detroit MI 	Clear	12	79	SSW	6	30.15	7	12	4
Sun Jan 31 11:34:46 2010	 Philadelphia PA 	Partly Cloudy	16	53	NNW	13	30.06	1	16	3
Sun Jan 31 12:17:57 2010	 San Jose CA 	Overcast	50	88	N/A		30.03	46	50	50
Sun Jan 31 12:17:58 2010	 Charlotte NC 	Clear	16	93	N/A		30.12	14	16	16
Sun Jan 31 12:17:59 2010	 San Diego CA 	Hazy	54	82	N/A		29.94	48	54	54
Sun Jan 31 12:18:00 2010	 Denver CO 	Mostly Cloudy	27	74	SSW	7	29.88	19	27	20
Sun Jan 31 12:18:01 2010	 Memphis TN 	Clear	21	80	N/A		30.27	16	21	21
Sun Jan 31 12:18:02 2010	 Los Angeles CA 	Clear	52	82	N/A		29.94	46	52	52
Sun Jan 31 12:18:03 2010	 El Paso TX 	Overcast	39	81	N	5	30	34	39	36
Sun Jan 31 12:18:04 2010	 New York City NY 	Clear	16	48	NNW	8	30.06	N/A	16	6
Sun Jan 31 12:18:05 2010	 Baltimore MD 	Fair	18	49	N/A		30.12	1	18	18
Sun Jan 31 12:18:06 2010	 Las Vegas NV 	Clear	46	62	NNW	12	29.94	34	46	42
Sun Jan 31 12:18:09 2010	 Washington DC 	Mostly Cloudy	18	49	NNW	10	30.15	1	18	7
Sun Jan 31 12:18:10 2010	 Austin TX 	Overcast	30	86	N/A		30.27	27	30	30
Sun Jan 31 12:18:11 2010	 San Francisco CA 	Partly Cloudy	43	100	N/A		30.03	43	43	43
Sun Jan 31 12:18:13 2010	 Oklahoma City OK 	Fog	21	100	N/A		30.21	21	21	21
Sun Jan 31 12:18:15 2010	 Nashville TN 	Fog And Mist	14	92	N/A		30.27	12	14	14
Sun Jan 31 12:18:16 2010	 Fort Worth TX 	Overcast	28	86	N/A		30.33	25	28	28
Sun Jan 31 12:18:18 2010	 Phoenix AZ 	Clear	52	62	N/A		29.88	39	52	52
Sun Jan 31 12:18:18 2010	 Portland OR 	Fog And Mist	43	100	N/A		30	43	43	43
Sun Jan 31 12:18:19 2010	 Chicago IL 	Mostly Cloudy	18	79	SSW	5	30.18	12	18	11
Sun Jan 31 12:18:20 2010	 San Antonio TX 	Fog And Mist	32	87	NE	12	30.24	28	32	24
Sun Jan 31 12:18:21 2010	 Indianapolis IN 	Partly Cloudy	10	85	WNW	3	30.21	7	10	5
Sun Jan 31 12:18:22 2010	 Boston MA 	Mostly Cloudy	14	34	NNW	14	30	-9	14	N/A
Sun Jan 31 12:18:23 2010	 Jacksonville FL 	Overcast	45	71	N	16	30.09	36	45	38
Sun Jan 31 12:18:24 2010	 Columbus OH 	Clear	10	85	N/A		30.18	7	10	10
Sun Jan 31 12:18:25 2010	 Dallas TX 	Overcast	30	86	N/A		30.3	27	30	30
