3	www.weatherforyou.com										
(Timestamp)	(Location)	(Conditions)	(Temperature) (°F °C)	Humidity (%)	Wind	(Wind Speed) (MPH)	Wind Gusts (MPH)	Barometer (in.)	Dewpoint (°F)	Wind Chill (°F)	Visibility (SM/Miles)
Sun Jan 31 18:19:47 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 25 -4 	46	W	12		30.21	7	15	10
Sun Jan 31 18:19:48 2010	San Antonio, Texas, United States (78201)	 Mist	 35 2 	75	Calm		 	30.18	28	28	
Sun Jan 31 18:19:50 2010	Indianapolis, Indiana, United States (46201)	 Clear	 25 -4 	60	W	6	7	30.28	13	16	
Sun Jan 31 18:19:51 2010	Boston, Massachusetts, United States (02101)	 Partly Cloudy	 25 -4 	33	NW	13	21	30.00	N/A	14	10
Sun Jan 31 18:19:52 2010	Jacksonville, Florida, United States (32099)	 Bkh	41 5 	73	N	3	1	30.13	33	40	
Sun Jan 31 18:19:53 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 23 -5 	58	SW	10		30.24	10	13	10
Sun Jan 31 18:19:54 2010	Dallas, Texas, United States (75201)	 Overcast	 34 1 	68	Calm		 	30.34	25		
Sun Jan 31 18:19:55 2010	Houston, Texas, United States (77001)	 Overcast	 36 2 	83	NE	5	8	30.24	31	32	
Sun Jan 31 18:19:57 2010	Seattle, Washington, United States (98101)	 Overcast	 46 8 	87	Calm		 	30.00	43		10
Sun Jan 31 18:19:58 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 19 -7 	53	NW	13	20	30.15	5	8	9
Sun Jan 31 18:19:59 2010	Detroit, Michigan, United States (48201)	 Overcast	 21 -6 	68	SW	15	21	30.12	12	9	10
Sun Jan 31 18:20:00 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 25 -4 	33	NNW	9		30.18	N/A	16	10
Sun Jan 31 19:03:13 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 52 11 	78	Calm		 	30.03	45		
Sun Jan 31 19:03:14 2010	Charlotte, North Carolina, United States (28201)	 Rain	 38 3 	61	Calm		 	30.20	26	31	
Sun Jan 31 19:03:16 2010	San Diego, California, United States (92101)	 Partly Cloudy	 57 14 	79	W	1	3	30.15	50		
Sun Jan 31 19:03:17 2010	Denver, Colorado, United States (80214)	 Mostly Cloudy	 34 1 	55	WNW	1	5	30.11	20		
Sun Jan 31 19:03:18 2010	Memphis, Tennessee, United States (37501)	 Partly Cloudy	 32 0 	75	E	6		30.33	25	27	10
Sun Jan 31 19:03:19 2010	Los Angeles, California, United States (90001)	 Hazy	 57 14 	63	Calm		 	30.00	45		6
Sun Jan 31 19:03:20 2010	El Paso, Texas, United States (79901)	 Mostly Cloudy	 48 9 	58	Calm		 	30.00	34		10
Sun Jan 31 19:03:22 2010	New York, New York, United States (10001)	 Clear	 25 -4 	36	VARIABLE	5		30.09	1	20	10
Sun Jan 31 19:03:23 2010	Baltimore, Maryland, United States (21201)	 Clear	 25 -4 	33	W	13		30.21	N/A	14	10
Sun Jan 31 19:03:24 2010	Las Vegas, Nevada, United States (89101)	 Partly Cloudy	 53 11 	57	Calm		 	30.03	38		
Sun Jan 31 19:03:25 2010	Washington, D.C., United States (20001)	 Clear	 28 -2 	34	NW	8		30.21	3	21	10
Sun Jan 31 19:03:26 2010	Austin, Texas, United States (73301)	 Overcast	 32 0 	81	Calm		 	30.26	28		
Sun Jan 31 19:03:28 2010	San Francisco, California, United States (94101)	 Overcast	 50 10 	88	SE	5		30.03	46	49	10
Sun Jan 31 19:03:29 2010	Oklahoma City, Oklahoma, United States (73101)	 Snow	 29 -1 	63	Calm		 	30.32	18		
Sun Jan 31 19:03:30 2010	Nashville, Tennessee, United States (37201)	 Clear	 32 0 	51	Calm		 	30.33	16		10
Sun Jan 31 19:03:31 2010	Fort Worth, Texas, United States (76101)	 Overcast	 34 1 	75	SE	5		30.33	27	30	10
Sun Jan 31 19:03:32 2010	Phoenix, Arizona, United States (85001)	 Clear	 63 17 	47	Calm		 	29.93	42		
Sun Jan 31 19:03:34 2010	Portland, Oregon, United States (97201)	 Mist	 48 9 	82	Calm		 	30.00	43	46	
Sun Jan 31 19:03:35 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 27 -3 	43	W	12		30.21	7	17	10
Sun Jan 31 19:03:36 2010	San Antonio, Texas, United States (78201)	 Mist	 36 2 	74	ESE	2	7	30.17	28	28	
Sun Jan 31 19:03:37 2010	Indianapolis, Indiana, United States (46201)	 Clear	 25 -4 	58	W	5	6	30.27	13	16	
Sun Jan 31 19:03:38 2010	Boston, Massachusetts, United States (02101)	 Partly Cloudy	 25 -4 	33	NW	13	21	30.00	N/A	14	10
Sun Jan 31 19:03:39 2010	Jacksonville, Florida, United States (32099)	 Bkh	41 5 	73	N	3	1	30.13	33	40	
Sun Jan 31 19:03:41 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 27 -3 	50	SSW	14	17	30.21	10	16	10
Sun Jan 31 19:03:42 2010	Dallas, Texas, United States (75201)	 Overcast	 35 2 	68	Calm		 	30.31	25		
Sun Jan 31 19:03:43 2010	Houston, Texas, United States (77001)	 Overcast	 36 2 	83	NE	5	8	30.24	31	32	
Sun Jan 31 19:03:45 2010	Seattle, Washington, United States (98101)	 Overcast	 48 9 	87	SSE	3		30.00	45	47	10
Sun Jan 31 19:03:46 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 23 -5 	46	W	12	20	30.15	5	13	9
Sun Jan 31 19:03:47 2010	Detroit, Michigan, United States (48201)	 Overcast	 21 -6 	68	SSW	15		30.09	12	9	10
Sun Jan 31 19:03:48 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 25 -4 	33	NNW	9		30.18	N/A	16	10
Sun Jan 31 19:48:35 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 54 12 	74	Calm		 	30.03	46	52	
Sun Jan 31 19:48:37 2010	Charlotte, North Carolina, United States (28201)	 Light Rain	 40 4 	57	Calm		 	30.18	26	31	
Sun Jan 31 19:48:38 2010	San Diego, California, United States (92101)	 Partly Cloudy	 59 15 	74	WSW	5		30.16	51		
Sun Jan 31 19:48:39 2010	Denver, Colorado, United States (80214)	 Mostly Cloudy	 38 3 	50	Calm		 	30.09	21	35	
Sun Jan 31 19:48:40 2010	Memphis, Tennessee, United States (37501)	 Partly Cloudy	 32 0 	75	E	6		30.33	25	27	10
Sun Jan 31 19:48:41 2010	Los Angeles, California, United States (90001)	 Hazy	 57 14 	63	Calm		 	30.00	45		6
Sun Jan 31 19:48:43 2010	El Paso, Texas, United States (79901)	 Mostly Cloudy	 48 9 	58	Calm		 	30.00	34		10
Sun Jan 31 19:48:44 2010	New York, New York, United States (10001)	 Clear	 25 -4 	36	VARIABLE	5		30.09	1	20	10
Sun Jan 31 19:48:45 2010	Baltimore, Maryland, United States (21201)	 Clear	 27 -3 	33	NW	9		30.18	1	18	10
Sun Jan 31 19:48:46 2010	Las Vegas, Nevada, United States (89101)	 Partly Cloudy	 56 13 	50	NE	1	2	30.03	38		
Sun Jan 31 19:48:47 2010	Washington, D.C., United States (20001)	 Clear	 28 -2 	34	NW	8		30.21	3	21	10
Sun Jan 31 19:48:48 2010	Austin, Texas, United States (73301)	 Overcast	 34 1 	75	SE	3	6	30.23	27	32	
Sun Jan 31 19:48:52 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 52 11 	82	ENE	5		30.06	46	51	10
Sun Jan 31 19:48:56 2010	Oklahoma City, Oklahoma, United States (73101)	 Fog	 29 -2 	69	Calm		 	30.29	20		
Sun Jan 31 19:48:57 2010	Nashville, Tennessee, United States (37201)	 Clear	 32 0 	51	Calm		 	30.33	16		10
Sun Jan 31 19:48:59 2010	Fort Worth, Texas, United States (76101)	 Overcast	 34 1 	75	SE	5		30.33	27	30	10
Sun Jan 31 19:49:00 2010	Phoenix, Arizona, United States (85001)	 Clear	 65 18 	43	Calm		 	29.92	42		
Sun Jan 31 19:49:01 2010	Portland, Oregon, United States (97201)	 Mist	 49 9 	81	Calm		 	30.01	43	46	
Sun Jan 31 19:49:02 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 27 -3 	43	W	12		30.21	7	17	10
Sun Jan 31 19:49:03 2010	San Antonio, Texas, United States (78201)	 Mist	 37 3 	72	SE	2	3	30.15	29	28	
Sun Jan 31 19:49:04 2010	Indianapolis, Indiana, United States (46201)	 Clear	 27 -3 	55	WNW	10	12	30.25	13	17	
Sun Jan 31 19:49:05 2010	Boston, Massachusetts, United States (02101)	 Partly Cloudy	 27 -3 	33	NW	13		29.97	1	17	10
Sun Jan 31 19:49:10 2010	Jacksonville, Florida, United States (32099)	 Bkh	41 5 	73	N	3	1	30.13	33	40	
Sun Jan 31 19:49:11 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 27 -3 	50	SSW	14	17	30.21	10	16	10
Sun Jan 31 19:49:12 2010	Dallas, Texas, United States (75201)	 Overcast	 35 2 	63	Calm		 	30.28	24		
Sun Jan 31 19:49:13 2010	Houston, Texas, United States (77001)	 Overcast	 39 4 	70	NE	5		30.27	30	36	9
Sun Jan 31 19:49:14 2010	Seattle, Washington, United States (98101)	 Overcast	 48 9 	87	S	3		30.00	45	47	10
Sun Jan 31 19:49:15 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 23 -5 	46	W	12	20	30.15	5	13	9
Sun Jan 31 19:49:16 2010	Detroit, Michigan, United States (48201)	 Overcast	 21 -6 	68	SSW	15		30.09	12	9	10
Sun Jan 31 19:49:18 2010	Philadelphia, Pennsylvania, United States (19019)	 Partly Cloudy	 25 -4 	33	W	7		30.15	N/A	18	10
Sun Jan 31 20:31:34 2010	San Jose, California, United States (95101)	 Partly Cloudy	 55 13 	70	Calm		 	30.01	46	54	
Sun Jan 31 20:31:35 2010	Charlotte, North Carolina, United States (28201)	 Partly Cloudy	 40 4 	54	Calm		 	30.19	24	36	
Sun Jan 31 20:31:36 2010	San Diego, California, United States (92101)	 Partly Cloudy	 60 15 	74	WNW	2	3	30.15	51		
Sun Jan 31 20:31:37 2010	Denver, Colorado, United States (80214)	 Mostly Cloudy	 40 4 	46	Calm		 	30.07	21	37	
Sun Jan 31 20:31:38 2010	Memphis, Tennessee, United States (37501)	 Partly Cloudy	 34 1 	70	Calm		 	30.33	25		10
Sun Jan 31 20:31:39 2010	Los Angeles, California, United States (90001)	 Clear	 63 17 	52	Calm		 	29.97	45		7
Sun Jan 31 20:31:40 2010	El Paso, Texas, United States (79901)	 Mostly Cloudy	 52 11 	50	Calm		 	29.97	34		10
Sun Jan 31 20:31:41 2010	New York, New York, United States (10001)	 Fair	 27 -3 	33	W	7		30.09	1	20	10
Sun Jan 31 20:31:43 2010	Baltimore, Maryland, United States (21201)	 Clear	 27 -3 	36	W	9		30.15	3	18	10
Sun Jan 31 20:31:44 2010	Las Vegas, Nevada, United States (89101)	 Partly Cloudy	 57 14 	46	Calm		 	30.03	36		
Sun Jan 31 20:31:45 2010	Washington, D.C., United States (20001)	 Clear	 30 -1 	31	VARIABLE	6		30.18	3	25	10
Sun Jan 31 20:31:46 2010	Austin, Texas, United States (73301)	 Overcast	 34 1 	74	Calm		 	30.23	27		
Sun Jan 31 20:31:48 2010	San Francisco, California, United States (94101)	 Partly Cloudy	 52 11 	82	ENE	6		30.06	46	50	10
Sun Jan 31 20:31:49 2010	Oklahoma City, Oklahoma, United States (73101)	 Fog	 31 -1 	69	Calm		 	30.29	22		
Sun Jan 31 20:31:50 2010	Nashville, Tennessee, United States (37201)	 Clear	 34 1 	51	Calm		 	30.30	18		10
Sun Jan 31 20:31:51 2010	Fort Worth, Texas, United States (76101)	 Overcast	 34 1 	75	SE	6		30.30	27	29	10
Sun Jan 31 20:31:52 2010	Phoenix, Arizona, United States (85001)	 Clear	 65 18 	41	SE	1		29.90	40		
Sun Jan 31 20:31:53 2010	Portland, Oregon, United States (97201)	 Overcast	 50 10 	80	Calm		 	30.00	44	48	
Sun Jan 31 20:31:55 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 28 -2 	40	W	14		30.18	7	18	10
Sun Jan 31 20:31:56 2010	San Antonio, Texas, United States (78201)	 Hazy	 36 2 	72	ESE	2	5	30.11	28	33	
Sun Jan 31 20:31:57 2010	Indianapolis, Indiana, United States (46201)	 Clear	 29 -2 	53	NW	6	12	30.25	14	18	
Sun Jan 31 20:31:58 2010	Boston, Massachusetts, United States (02101)	 Partly Cloudy	 27 -3 	33	NW	9		29.97	1	18	10
Sun Jan 31 20:31:59 2010	Jacksonville, Florida, United States (32099)	 Bkh	41 5 	73	N	3	1	30.13	33	40	
Sun Jan 31 20:32:00 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 28 -2 	47	SSW	10	18	30.18	10	20	10
Sun Jan 31 20:32:01 2010	Dallas, Texas, United States (75201)	 Overcast	 36 2 	66	Calm		 	30.28	26		
Sun Jan 31 20:32:02 2010	Houston, Texas, United States (77001)	 Overcast	 39 4 	70	Calm		 	30.27	30		10
Sun Jan 31 20:32:04 2010	Seattle, Washington, United States (98101)	 Mostly Cloudy	 48 9 	87	SSE	3		30.00	45	47	10
Sun Jan 31 20:32:05 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 25 -4 	42	W	12		30.12	5	15	10
Sun Jan 31 20:32:06 2010	Detroit, Michigan, United States (48201)	 Overcast	 23 -5 	63	SSW	15	23	30.09	12	11	10
Sun Jan 31 20:32:07 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 28 -2 	31	Calm		 	30.15	1		10
Sun Jan 31 21:15:47 2010	San Jose, California, United States (95101)	 Partly Cloudy	 57 14 	67	Calm		 	29.99	46		
Sun Jan 31 21:15:48 2010	Charlotte, North Carolina, United States (28201)	 Partly Cloudy	 41 5 	55	Calm		 	30.19	26	37	
Sun Jan 31 21:15:49 2010	San Diego, California, United States (92101)	 Partly Cloudy	 61 16 	71	NW	5	7	30.13	51		
Sun Jan 31 21:15:50 2010	Denver, Colorado, United States (80214)	 Mostly Cloudy	 42 6 	44	WNW	1	3	30.06	22		
Sun Jan 31 21:15:52 2010	Memphis, Tennessee, United States (37501)	 Partly Cloudy	 36 2 	70	Calm		 	30.30	27		10
Sun Jan 31 21:15:53 2010	Los Angeles, California, United States (90001)	 Clear	 64 18 	46	Calm		 	29.94	43		8
Sun Jan 31 21:15:54 2010	El Paso, Texas, United States (79901)	 Mostly Cloudy	 54 12 	47	VARIABLE	3		29.94	34		10
Sun Jan 31 21:15:55 2010	New York, New York, United States (10001)	 Clear	 28 -2 	31	VARIABLE	7		30.09	1	22	10
Sun Jan 31 21:15:56 2010	Baltimore, Maryland, United States (21201)	 Clear	 28 -2 	34	W	10		30.15	3	20	10
Sun Jan 31 21:15:57 2010	Las Vegas, Nevada, United States (89101)	 Partly Cloudy	 60 16 	41	Calm		 	30.00	36		
Sun Jan 31 21:15:58 2010	Washington, D.C., United States (20001)	 Clear	 30 -1 	31	Calm		 	30.18	3		10
Sun Jan 31 21:15:59 2010	Austin, Texas, United States (73301)	 Overcast	 35 1 	72	Calm		 	30.20	27	34	
Sun Jan 31 21:16:00 2010	San Francisco, California, United States (94101)	 Partly Cloudy	 52 11 	82	ENE	6		30.06	46	50	10
Sun Jan 31 21:16:01 2010	Oklahoma City, Oklahoma, United States (73101)	 Overcast	 31 -1 	71	Calm		 	30.26	23		
Sun Jan 31 21:16:03 2010	Nashville, Tennessee, United States (37201)	 Clear	 36 2 	48	Calm		 	30.30	18		10
Sun Jan 31 21:16:04 2010	Fort Worth, Texas, United States (76101)	 Overcast	 34 1 	75	E	5		30.27	27	30	10
Sun Jan 31 21:16:05 2010	Phoenix, Arizona, United States (85001)	 Clear	 67 20 	39	Calm		 	29.87	42		
Sun Jan 31 21:16:31 2010	Portland, Oregon, United States (97201)	 Mostly Cloudy	 51 11 	77	Calm		 	29.99	44	47	
Sun Jan 31 21:16:33 2010	Chicago, Illinois, United States (60601)	 Partly Cloudy	 28 -2 	37	SSW	16		30.18	5	17	10
Sun Jan 31 21:16:34 2010	San Antonio, Texas, United States (78201)	 Hazy	 37 3 	71	ENE	3	5	30.09	29	33	
Sun Jan 31 21:16:35 2010	Indianapolis, Indiana, United States (46201)	 Clear	 29 -1 	51	W	6	13	30.25	14	20	
Sun Jan 31 21:16:36 2010	Boston, Massachusetts, United States (02101)	 Partly Cloudy	 28 -2 	31	NW	13	23	29.97	1	19	10
Sun Jan 31 21:16:37 2010	Jacksonville, Florida, United States (32099)	 Bkh	41 5 	73	N	3	1	30.13	33	40	
Sun Jan 31 21:16:38 2010	Columbus, Ohio, United States (43085)	 Partly Cloudy	 30 -1 	43	SSW	13		30.18	10	21	10
Sun Jan 31 21:16:39 2010	Dallas, Texas, United States (75201)	 Mostly Cloudy	 39 4 	60	Calm		 	30.25	26	34	
Sun Jan 31 21:16:40 2010	Houston, Texas, United States (77001)	 Overcast	 40 4 	77	SSW	3		30.17	33	38	
Sun Jan 31 21:16:42 2010	Seattle, Washington, United States (98101)	 Overcast	 48 9 	87	S	6		30.00	45	46	10
Sun Jan 31 21:16:43 2010	Milwaukee, Wisconsin, United States (53201)	 Overcast	 25 -4 	39	WNW	15	23	30.15	3	13	10
Sun Jan 31 21:16:44 2010	Detroit, Michigan, United States (48201)	 Overcast	 25 -4 	63	SSW	13	22	30.06	14	14	10
Sun Jan 31 21:16:45 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 28 -2 	31	Calm		 	30.15	1		10
Sun Jan 31 21:59:01 2010	San Jose, California, United States (95101)	 Partly Cloudy	 59 15 	63	Calm		 	29.97	47		
Sun Jan 31 21:59:02 2010	Charlotte, North Carolina, United States (28201)	 Partly Cloudy	 40 4 	54	Calm		 	30.18	25	37	
Sun Jan 31 21:59:03 2010	San Diego, California, United States (92101)	 Partly Cloudy	 61 16 	70	WSW	3	8	30.12	51		
Sun Jan 31 21:59:04 2010	Denver, Colorado, United States (80214)	 Mostly Cloudy	 41 5 	45	S	4	6	30.06	21	39	
Sun Jan 31 21:59:05 2010	Memphis, Tennessee, United States (37501)	 Partly Cloudy	 36 2 	70	Calm		 	30.30	27		10
Sun Jan 31 21:59:06 2010	Los Angeles, California, United States (90001)	 Clear	 64 18 	46	Calm		 	29.94	43		8
Sun Jan 31 21:59:08 2010	El Paso, Texas, United States (79901)	 Mostly Cloudy	 54 12 	47	VARIABLE	3		29.94	34		10
Sun Jan 31 21:59:09 2010	New York, New York, United States (10001)	 Clear	 28 -2 	31	VARIABLE	7		30.09	1	22	10
Sun Jan 31 21:59:10 2010	Baltimore, Maryland, United States (21201)	 Clear	 28 -2 	37	SSW	10		30.18	5	20	10
Sun Jan 31 21:59:11 2010	Las Vegas, Nevada, United States (89101)	 Partly Cloudy	 60 16 	40	Calm		 	29.98	36		
Sun Jan 31 21:59:12 2010	Washington, D.C., United States (20001)	 Clear	 34 1 	29	NW	8		30.18	5	28	10
Sun Jan 31 21:59:13 2010	Austin, Texas, United States (73301)	 Hazy	 34 1 	70	Calm		 	30.17	27	31	
Sun Jan 31 21:59:14 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 54 12 	82	Calm		 	30.03	48		10
Sun Jan 31 21:59:15 2010	Oklahoma City, Oklahoma, United States (73101)	 Overcast	 30 -1 	72	Calm		 	30.23	22		
Sun Jan 31 21:59:16 2010	Nashville, Tennessee, United States (37201)	 Clear	 37 3 	45	Calm		 	30.30	18		10
Sun Jan 31 21:59:17 2010	Fort Worth, Texas, United States (76101)	 Overcast	 34 1 	75	E	5		30.27	27	30	10
Sun Jan 31 21:59:18 2010	Phoenix, Arizona, United States (85001)	 Clear	 66 19 	40	W	1	3	29.85	41		
Sun Jan 31 21:59:19 2010	Portland, Oregon, United States (97201)	 Overcast	 52 11 	74	S	2		29.97	44		
Sun Jan 31 21:59:21 2010	Chicago, Illinois, United States (60601)	 Mostly Cloudy	 28 -2 	43	W	16		30.21	9	17	10
Sun Jan 31 21:59:22 2010	San Antonio, Texas, United States (78201)	 Overcast	 39 4 	69	NE	7		30.07	30	33	
Sun Jan 31 21:59:23 2010	Indianapolis, Indiana, United States (46201)	 Clear	 30 -1 	54	NW	7	14	30.25	15	20	
Sun Jan 31 21:59:24 2010	Boston, Massachusetts, United States (02101)	 Partly Cloudy	 28 -2 	31	NW	12		29.97	1	19	10
Sun Jan 31 21:59:25 2010	Jacksonville, Florida, United States (32099)	 Bkh	41 5 	73	N	3	1	30.13	33	40	
Sun Jan 31 21:59:27 2010	Columbus, Ohio, United States (43085)	 Clear	 30 -1 	43	W	14		30.18	10	21	10
Sun Jan 31 21:59:28 2010	Dallas, Texas, United States (75201)	 Partly Cloudy	 43 6 	50	Calm		 	30.19	25	41	
Sun Jan 31 21:59:29 2010	Houston, Texas, United States (77001)	 Overcast	 41 5 	76	W	2		30.16	34		
Sun Jan 31 21:59:30 2010	Seattle, Washington, United States (98101)	 Overcast	 48 9 	82	SSE	6		29.97	43	46	10
Sun Jan 31 21:59:31 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 25 -4 	42	NW	14		30.18	5	14	8
Sun Jan 31 21:59:32 2010	Detroit, Michigan, United States (48201)	 Overcast	 27 -3 	59	SSW	13	21	30.06	14	17	10
Sun Jan 31 21:59:33 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 30 -1 	31	SSW	10		30.12	3	22	10
Sun Jan 31 22:43:49 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 60 16 	61	Calm		 	29.95	47		
Sun Jan 31 22:43:50 2010	Charlotte, North Carolina, United States (28201)	 Partly Cloudy	 39 4 	54	Calm		 	30.19	24		
Sun Jan 31 22:43:51 2010	San Diego, California, United States (92101)	 Partly Cloudy	 60 16 	70	WSW	5	6	30.10	51		
Sun Jan 31 22:43:53 2010	Denver, Colorado, United States (80214)	 Mostly Cloudy	 40 4 	51	Calm		 	30.07	23	37	
Sun Jan 31 22:43:54 2010	Memphis, Tennessee, United States (37501)	 Partly Cloudy	 37 3 	65	NNE	5		30.30	27	34	10
Sun Jan 31 22:43:55 2010	Los Angeles, California, United States (90001)	 Hazy	 64 18 	49	Calm		 	29.91	45		6
Sun Jan 31 22:43:56 2010	El Paso, Texas, United States (79901)	 Mostly Cloudy	 55 13 	41	SSW	3		29.91	32		10
Sun Jan 31 22:43:57 2010	New York, New York, United States (10001)	 Clear	 30 -1 	29	W	7		30.09	1	24	10
Sun Jan 31 22:43:58 2010	Baltimore, Maryland, United States (21201)	 Clear	 28 -2 	37	SSW	10		30.18	5	20	10
Sun Jan 31 22:43:59 2010	Las Vegas, Nevada, United States (89101)	 Partly Cloudy	 62 17 	31	NE	2	3	29.95	31		
Sun Jan 31 22:44:01 2010	Washington, D.C., United States (20001)	 Clear	 34 1 	29	NW	8		30.18	5	28	10
Sun Jan 31 22:44:02 2010	Austin, Texas, United States (73301)	 Hazy	 35 2 	68	Calm		 	30.17	27	31	
Sun Jan 31 22:44:03 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 54 12 	82	NE	3		30.00	48		10
Sun Jan 31 22:44:04 2010	Oklahoma City, Oklahoma, United States (73101)	 Overcast	 32 0 	75	Calm		 	30.23	25		
Sun Jan 31 22:44:05 2010	Nashville, Tennessee, United States (37201)	 Clear	 37 3 	45	Calm		 	30.30	18		10
Sun Jan 31 22:44:06 2010	Fort Worth, Texas, United States (76101)	 Overcast	 34 1 	75	E	5		30.27	27	30	10
Sun Jan 31 22:44:07 2010	Phoenix, Arizona, United States (85001)	 Clear	 67 19 	40	Calm		 	29.84	42		
Sun Jan 31 22:44:09 2010	Portland, Oregon, United States (97201)	 Overcast	 52 11 	73	Calm		 	29.95	44		
Sun Jan 31 22:44:10 2010	Chicago, Illinois, United States (60601)	 Mostly Cloudy	 28 -2 	43	W	16		30.21	9	17	10
Sun Jan 31 22:44:11 2010	San Antonio, Texas, United States (78201)	 Overcast	 39 4 	68	NE	7		30.07	30	33	
Sun Jan 31 22:44:12 2010	Indianapolis, Indiana, United States (46201)	 Clear	 30 -1 	48	W	10	13	30.25	12	19	
Sun Jan 31 22:44:13 2010	Boston, Massachusetts, United States (02101)	 Partly Cloudy	 28 -2 	31	NW	12		29.97	1	19	10
Sun Jan 31 22:44:14 2010	Jacksonville, Florida, United States (32099)	 Bkh	41 5 	73	N	3	1	30.13	33	40	
Sun Jan 31 22:44:15 2010	Columbus, Ohio, United States (43085)	 Clear	 30 -1 	43	W	14		30.18	10	21	10
Sun Jan 31 22:44:17 2010	Dallas, Texas, United States (75201)	 Clear	 44 7 	48	Calm		 	30.22	25	43	
Sun Jan 31 22:44:18 2010	Houston, Texas, United States (77001)	 Overcast	 41 5 	74	SW	3		30.15	33	39	
Sun Jan 31 22:44:19 2010	Seattle, Washington, United States (98101)	 Overcast	 48 9 	82	SSE	6		29.97	43	46	10
Sun Jan 31 22:44:20 2010	Milwaukee, Wisconsin, United States (53201)	 Partly Cloudy	 25 -4 	42	NW	14		30.18	5	14	8
Sun Jan 31 22:44:21 2010	Detroit, Michigan, United States (48201)	 Overcast	 27 -3 	59	SSW	13	21	30.06	14	17	10
Sun Jan 31 22:44:22 2010	Philadelphia, Pennsylvania, United States (19019)	 Clear	 30 -1 	37	SSW	14		30.12	7	21	10
Sun Jan 31 23:27:10 2010	San Jose, California, United States (95101)	 Mostly Cloudy	 61 16 	60	Calm		 	29.94	47		
Sun Jan 31 23:27:11 2010	Charlotte, North Carolina, United States (28201)	 Light Rain	 35 2 	59	Calm		 	30.20	23		
Sun Jan 31 23:27:12 2010	San Diego, California, United States (92101)	 Partly Cloudy	 61 16 	70	WSW	3	8	30.10	51		
Sun Jan 31 23:27:13 2010	Denver, Colorado, United States (80214)	 Mostly Cloudy	 39 4 	51	Calm		 	30.08	23	37	
Sun Jan 31 23:27:14 2010	Memphis, Tennessee, United States (37501)	 Partly Cloudy	 37 3 	65	VARIABLE	3		30.30	27	35	10
Sun Jan 31 23:27:16 2010	Los Angeles, California, United States (90001)	 Clear	 66 19 	52	W	5		29.91	48		8
Sun Jan 31 23:27:17 2010	El Paso, Texas, United States (79901)	 Mostly Cloudy	 57 14 	41	Calm		 	29.91	34		10
Sun Jan 31 23:27:18 2010	New York, New York, United States (10001)	 Clear	 28 -2 	31	SSW	8		30.09	1	21	10
Sun Jan 31 23:27:19 2010	Baltimore, Maryland, United States (21201)	 Clear	 28 -2 	37	W	6		30.15	5	23	10
Sun Jan 31 23:27:20 2010	Las Vegas, Nevada, United States (89101)	 Mostly Cloudy	 62 17 	31	Calm		 	29.95	31		
Sun Jan 31 23:27:21 2010	Washington, D.C., United States (20001)	 Clear	 34 1 	27	W	5		30.18	3	30	10
Sun Jan 31 23:27:22 2010	Austin, Texas, United States (73301)	 Hazy	 35 2 	68	Calm		 	30.17	27	33	
Sun Jan 31 23:27:24 2010	San Francisco, California, United States (94101)	 Mostly Cloudy	 54 12 	82	NNE	5		29.97	48	53	10
Sun Jan 31 23:27:25 2010	Oklahoma City, Oklahoma, United States (73101)	 Overcast	 32 0 	78	Calm		 	30.23	25		
Sun Jan 31 23:27:26 2010	Nashville, Tennessee, United States (37201)	 Partly Cloudy	 36 2 	48	Calm		 	30.30	18		10
Sun Jan 31 23:27:27 2010	Fort Worth, Texas, United States (76101)	 Overcast	 36 2 	70	ESE	3		30.27	27	33	10
Sun Jan 31 23:27:28 2010	Phoenix, Arizona, United States (85001)	 Clear	 68 20 	38	Calm		 	29.84	41		
Sun Jan 31 23:27:29 2010	Portland, Oregon, United States (97201)	 Mostly Cloudy	 52 11 	72	Calm		 	29.94	44	50	
Sun Jan 31 23:27:30 2010	Chicago, Illinois, United States (60601)	 Mostly Cloudy	 28 -2 	51	W	15		30.21	12	18	10
