1	www.uswx.com													
(Timestamp)	(Location)	(City & Timestamp)	Temperature (°F °C)	Dew Point (°F °C)	Humidity (%)	Pressure (in mb)	Wind Speed (MPH kts) 	Wind Dir	Ceiling (ft m)	Visibility (mi km)	Wind Chill (°F °C)	Conditions	Remarks	TypeIssue TimeExpire TimeExpires  
Sun Jan 31 11:43:48 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 1:53am PST (50 mago)	50 10 	46 8 	89	29.94 1014 	Calm Calm	--	 Unlimited Unlimited	8 12.9	--	Clear	No  this hour.	Expire Statement Sat, Jan 30, 5:41pm PST Sun, Jan 31, 4:00am PST 1 hr, 16 minsNational Weather Service 
Sun Jan 31 11:43:49 2010	El Paso (79901)	El Paso, TX (KELP) as of 2:51am MST (52 mago)	39 4 	33 1 	79	29.95 1014.2 	6 5 	NNE20	 9000 2743	10 16.1	35 2 	Mostly Cloudy	No  this hour.	
Sun Jan 31 11:43:51 2010	New York (10001)	New York City, NY (KNYC) as of 4:51am EST (52 mago)	16 -9 	0 -18 	47	30.05 1017.5 	7 G 176 G 15	VariableVariable	 Unlimited Unlimited	10 16.1	14-Jun	Clear	Lightning detector not working.	Special Weather Statement Sun, Jan 31, 4:39am EST Sun, Jan 31, 9:30am EST 3 hrs, 46 minsNational Weather Service 
Sun Jan 31 11:43:53 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 4:54am EST (49 mago)	15 -9 	16-Mar	59	30.11 1019.5 	6 5 	NW310	 Unlimited Unlimited	10 16.1	14-Jun	Mostly Clear	No  this hour.	
Sun Jan 31 11:43:55 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 1:53am PST (50 mago)	46 8 	35 2 	65	29.90 1012.6 	9 8 	NNW340	 Unlimited Unlimited	10 16.1	--	Clear	Lightning detector not working.	
Sun Jan 31 11:43:56 2010	Washington (20001)	Washington DC, VA (KDCA) as of 4:52am EST (51 mago)	17 -8 	16-Mar	54	30.12 1019.9 	10 9 	NNW330	 Unlimited Unlimited	10 16.1	15-May	Mostly Clear	No  this hour.	
Sun Jan 31 11:43:59 2010	Aust(73301)	AustCity, TX (KATT) as of 3:51am CST (52 mago)	31 -1 	27 -3 	85	30.28 1025.5 	3 3 	VariableVariable	 700 213	7 11.3	27 -3 	Cloudy	No  this hour.	
Sun Jan 31 11:44:00 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 2:40am PST (4 mago)	48 9 	46 8 	93	30.03 1017 	3 3 	S170	 1200 366	10 16.1	--	Mostly Cloudy	No  this hour.	
Sun Jan 31 11:44:02 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 3:52am CST (52 mago)	21 -6 	19 -7 	95	30.24 1024.2 	5 4 	SSE150	 --	0.125 0.2	14 -10 	 Freezing Fog	No  this hour.	Fog Statement Sun, Jan 31, 12:06am CST Sun, Jan 31, 6:00am CST 1 hr, 15 mins  Fog Statement Sun, Jan 31, 4:01am CST Sun, Jan 31, 12:00pm CST 7 hrs, 15 minsNational Weather Service 
Sun Jan 31 11:44:04 2010	Nashville (37201)	Nashville, TN (KBNA) as of 3:53am CST (51 mago)	15 -9 	11-Dec	88	30.26 1024.8 	Calm Calm	--	 Unlimited Unlimited	7 11.3	--	Clear	No  this hour.	Special Weather Statement Sun, Jan 31, 12:32am CST Sun, Jan 31, 12:45pm CST 8 hrsNational Weather Service 
Sun Jan 31 11:44:06 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 3:53am CST (51 mago)	29 -2 	24 -4 	82	30.29 1025.6 	Calm Calm	--	 800 244	10 16.1	--	Cloudy	No  this hour.	
Sun Jan 31 11:44:08 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 2:51am MST (53 mago)	50 10 	42 6 	74	29.86 1011.2 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Sun Jan 31 11:44:10 2010	Portland (97201)	Portland, OR (KPDX) as of 1:53am PST (51 mago)	43 6 	42 6 	97	30.01 1016.1 	3 3 	E100	 2000 610	10 16.1	--	Light Rain	0.01" of precipitation last hour.	
Sun Jan 31 11:44:12 2010	Chicago (60601)	Chicago, IL (KMDW) as of 4:02am CST (42 mago)	19 -7 	11-Dec	73	30.18 1022 	8 7 	W260	 12000 3658	10 16.1	13-Sep	Mostly Cloudy	No  this hour.	
Sun Jan 31 11:44:14 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 4:00am CST (44 mago)	32 0 	28 -2 	88	30.21 1022.9 	6 5 	NE50	 1000 305	6 9.7	26 -3 	 Mist	No  this hour.	
Sun Jan 31 11:44:24 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 4:54am EST (50 mago)	13-Sep	14-Jun	88	30.23 1023.8 	5 4 	WNW290	 Unlimited Unlimited	8 12.9	17-Jan	Few Clouds	No  this hour.	
Sun Jan 31 11:44:25 2010	Boston (02101)	Boston, MA (KBOS) as of 4:54am EST (50 mago)	14 -10 	-5 -21 	42	29.99 1015.7 	13 11 	NNW330	 25000 7620	10 16.1	0 -18 	Mostly Cloudy	No  this hour.	
Sun Jan 31 11:44:27 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 4:53am EST (51 mago)	44 7 	36 2 	73	30.03 1017 	16 14 	N350	 1900 579	10 16.1	--	Cloudy	No  this hour.	
Sun Jan 31 11:44:31 2010	Coluus (43085)	Coluus, OH (KOSU) as of 4:53am EST (51 mago)	13-Sep	14-Jul	92	30.21 1023 	3 3 	W270	 Unlimited Unlimited	10 16.1	17-Feb	Clear	No  this hour.	
Sun Jan 31 11:44:33 2010	Dallas (75201)	Dallas, TX (KDAL) as of 3:53am CST (51 mago)	31 -1 	26 -3 	82	30.29 1025.8 	3 3 	E80	 1300 396	10 16.1	27 -3 	Cloudy	No  this hour.	Flood Statement Sat, Jan 30, 7:45pm CST Sun, Jan 31, 7:45am CST 3 hrsNational Weather Service 
Sun Jan 31 11:44:35 2010	Houston (77001)	Houston, TX (KHOU) as of 3:53am CST (51 mago)	35 2 	28 -2 	75	30.27 1025 	9 8 	NE40	 1500 457	9 14.5	28 -2 	Cloudy	No  this hour.	
Sun Jan 31 11:44:36 2010	Seattle (98101)	Seattle, WA (KBFI) as of 1:53am PST (51 mago)	47 8 	44 7 	90	29.97 1015 	3 3 	S180	 600 183	7 11.3	--	Light Rain	0.01" of precipitation last hour.	
Sun Jan 31 11:44:38 2010	Milwaukee (53201)	Milwaukee, WI (KMKE) as of 3:52am CST (52 mago)	16 -9 	14-Jul	67	30.17 1021.7 	5 4 	W260	 Unlimited Unlimited	9 14.5	13-Sep	Mostly Clear	No  this hour.	
Sun Jan 31 11:44:40 2010	Detroit (48201)	Detroit, MI (KDET) as of 4:53am EST (51 mago)	13 -11 	14-Jul	77	30.18 1021.9 	6 5 	WSW250	 Unlimited Unlimited	10 16.1	16-Apr	Clear	No  this hour.	
Sun Jan 31 11:44:42 2010	Philadelphia (19019)	Philadelphia, PA (KPHL) as of 4:54am EST (50 mago)	16 -9 	17-Jan	54	30.07 1018.2 	13 11 	NNW340	 Unlimited Unlimited	10 16.1	17-Feb	Mostly Clear	No  this hour.	
Sun Jan 31 12:27:09 2010	San Jose (95101)	San Jose, CA (KSJC) as of 2:53am PST (34 mago)	50 10 	46 8 	86	30.01 1016.4 	Calm Calm	--	 1600 488	10 16.1	--	Cloudy	No  this hour.	
Sun Jan 31 12:27:11 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 5:52am EST (35 mago)	16 -9 	14 -10 	92	30.13 1020.4 	Calm Calm	--	 Unlimited Unlimited	9 14.5	--	Clear	No  this hour.	Winter Weather Advisory Sun, Jan 31, 3:53am EST Sun, Jan 31, 12:00pm EST 5 hrs, 32 mins  Winter Weather Advisory Sun, Jan 31, 6:20am EST Sun, Jan 31, 12:00pm EST 5 hrs, 32 minsNational Weather Service 
Sun Jan 31 12:27:12 2010	San Diego (92101)	San Diego, CA (KSAN) as of 2:51am PST (36 mago)	53 12 	48 9 	83	29.95 1014.1 	Calm Calm	--	 2300 701	6 9.7	--	 Haze	No  this hour.	
Sun Jan 31 12:27:14 2010	Denver (80214)	Aurora, CO (KBKF) as of 3:55am MST (32 mago)	27 -3 	19 -7 	74	29.88 1011.9 	7 6 	W260	 22000 6706	7 11.3	19 -7 	Mostly Cloudy	No  this hour.	
Sun Jan 31 12:27:16 2010	Memphis (37501)	Memphis, TN (KMEM) as of 4:53am CST (34 mago)	21 -6 	15 -9 	78	30.29 1025.8 	Calm Calm	--	 Unlimited Unlimited	9 14.5	--	Clear	No  this hour.	Fog Statement Sun, Jan 31, 4:03am CST Sun, Jan 31, 9:00am CST 3 hrs, 32 minsNational Weather Service 
Sun Jan 31 12:27:18 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 2:53am PST (34 mago)	50 10 	48 9 	93	29.94 1013.9 	Calm Calm	--	 Unlimited Unlimited	7 11.3	--	Few Clouds	No  this hour.	Expire Statement Sat, Jan 30, 5:41pm PST Sun, Jan 31, 4:00am PST 32 minsNational Weather Service 
Sun Jan 31 12:27:20 2010	El Paso (79901)	El Paso, TX (KELP) as of 3:51am MST (36 mago)	39 4 	33 1 	79	29.93 1013.6 	5 4 	N350	 9000 2743	10 16.1	36 2 	Cloudy	No  this hour.	
Sun Jan 31 12:27:22 2010	New York (10001)	New York City, NY (KNYC) as of 5:51am EST (36 mago)	15 -9 	0 -18 	49	30.05 1017.6 	8 7 	NNW330	 Unlimited Unlimited	10 16.1	16-Apr	Clear	Lightning detector not working.	Special Weather Statement Sun, Jan 31, 4:39am EST Sun, Jan 31, 9:30am EST 3 hrs, 2 minsNational Weather Service 
Sun Jan 31 12:27:23 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 5:54am EST (33 mago)	13 -11 	17-Jan	59	30.13 1020.2 	5 4 	NW310	 Unlimited Unlimited	10 16.1	15-May	Mostly Clear	No  this hour.	
Sun Jan 31 12:27:25 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 2:53am PST (34 mago)	46 8 	34 1 	62	29.90 1012.6 	12 10 	NNW330	 Unlimited Unlimited	10 16.1	--	Clear	Lightning detector not working.	
Sun Jan 31 12:27:27 2010	Washington (20001)	Washington DC, VA (KDCA) as of 5:52am EST (35 mago)	17 -8 	17-Jan	51	30.15 1020.9 	10 9 	NNW330	 20000 6096	10 16.1	15-May	Mostly Cloudy	No  this hour.	
Sun Jan 31 12:27:29 2010	Aust(73301)	AustCity, TX (KATT) as of 4:51am CST (36 mago)	31 -1 	27 -3 	85	30.29 1025.6 	Calm Calm	--	 700 213	7 11.3	--	Cloudy	No  this hour.	
Sun Jan 31 12:27:30 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 2:56am PST (31 mago)	47 8 	46 8 	97	30.02 1016.6 	5 4 	SSW200	 1200 366	10 16.1	--	Mostly Cloudy	No  this hour.	
Sun Jan 31 12:27:32 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 4:52am CST (35 mago)	22 -6 	20 -6 	97	30.21 1023 	Calm Calm	--	 --	0.125 0.2	--	 Freezing Fog	No  this hour.	Fog Statement Sun, Jan 31, 12:06am CST Sun, Jan 31, 6:00am CST 32 mins  Fog Statement Sun, Jan 31, 4:01am CST Sun, Jan 31, 12:00pm CST 6 hrs, 32 minsNational Weather Service 
Sun Jan 31 12:27:34 2010	Nashville (37201)	Nashville, TN (KBNA) as of 4:53am CST (34 mago)	14 -10 	11-Dec	92	30.29 1025.7 	Calm Calm	--	 Unlimited Unlimited	6 9.7	--	 Mist	No  this hour.	Special Weather Statement Sun, Jan 31, 12:32am CST Sun, Jan 31, 12:45pm CST 7 hrs, 17 minsNational Weather Service 
Sun Jan 31 12:27:35 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 4:53am CST (34 mago)	29 -2 	24 -4 	82	30.29 1025.6 	3 3 	NE50	 800 244	10 16.1	25 -4 	Cloudy	No  this hour.	
Sun Jan 31 12:27:37 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 3:51am MST (36 mago)	51 11 	39 4 	65	29.85 1011 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Sun Jan 31 12:27:39 2010	Portland (97201)	Portland, OR (KPDX) as of 3:24am PST (3 mago)	43 6 	42 6 	100	30.00 1016 	Calm Calm	--	 600 183	3 4.8	--	 Mist	No  this hour.	
Sun Jan 31 12:27:41 2010	Chicago (60601)	Chicago, IL (KMDW) as of 4:51am CST (36 mago)	18 -8 	11-Dec	77	30.24 1024 	5 4 	WSW250	 13000 3962	10 16.1	12-Nov	Mostly Cloudy	No  this hour.	
Sun Jan 31 12:27:42 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 4:53am CST (34 mago)	32 0 	28 -2 	88	30.22 1023.3 	7 6 	ENE70	 600 183	6 9.7	26 -3 	 Mist	No  this hour.	
Sun Jan 31 12:27:44 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 5:54am EST (33 mago)	12-Oct	14-Jul	87	30.24 1024.2 	3 3 	WNW290	 Unlimited Unlimited	9 14.5	16-Apr	Few Clouds	No  this hour.	
Sun Jan 31 12:27:46 2010	Boston (02101)	Boston, MA (KBOS) as of 5:54am EST (33 mago)	14 -10 	-9 -23 	33	30.01 1016.2 	14 12 	NNW330	 25000 7620	10 16.1	-1 -18 	Mostly Cloudy	No  this hour.	
Sun Jan 31 12:27:48 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 5:53am EST (34 mago)	44 7 	36 2 	73	30.06 1018.1 	16 14 	N360	 1700 518	10 16.1	--	Cloudy	No  this hour.	
Sun Jan 31 12:27:49 2010	Coluus (43085)	Coluus, OH (KOSU) as of 5:53am EST (34 mago)	13-Sep	14-Jun	88	30.22 1023.4 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Sun Jan 31 12:27:51 2010	Dallas (75201)	Dallas, TX (KDAL) as of 4:53am CST (34 mago)	31 -1 	26 -3 	82	30.30 1026 	Calm Calm	--	 1100 335	10 16.1	--	Cloudy	No  this hour.	Flood Statement Sat, Jan 30, 7:45pm CST Sun, Jan 31, 7:45am CST 2 hrs, 17 minsNational Weather Service Forecast 
Sun Jan 31 12:27:53 2010	Houston (77001)	Houston, TX (KHOU) as of 4:53am CST (34 mago)	34 1 	28 -2 	79	30.26 1024.8 	12 10 	N10	 1500 457	9 14.5	25 -4 	Cloudy	No  this hour.	
Sun Jan 31 12:27:56 2010	Seattle (98101)	Seattle, WA (KBFI) as of 2:53am PST (34 mago)	47 8 	44 7 	90	29.98 1015.1 	3 3 	SE140	 1100 335	9 14.5	--	Light Rain	0.01" of precipitation last hour.	
Sun Jan 31 12:27:58 2010	Milwaukee (53201)	Milwaukee, WI (KMKE) as of 4:52am CST (35 mago)	15 -9 	14-Jun	67	30.18 1021.9 	7 6 	W260	 Unlimited Unlimited	9 14.5	15-May	Mostly Clear	No  this hour.	
Sun Jan 31 12:28:00 2010	Detroit (48201)	Detroit, MI (KDET) as of 5:53am EST (35 mago)	12-Nov	14-Jul	84	30.18 1021.9 	6 5 	SW230	 Unlimited Unlimited	10 16.1	17-Jan	Clear	No  this hour.	
Sun Jan 31 12:28:02 2010	Philadelphia (19019)	Philadelphia, PA (KPHL) as of 5:54am EST (34 mago)	15 -9 	17-Jan	53	30.09 1019 	8 7 	NNW340	 Unlimited Unlimited	10 16.1	16-Apr	Mostly Clear	No  this hour.	Special Weather Statement Sun, Jan 31, 5:46am EST Sun, Jan 31, 12:00pm EST 5 hrs, 31 minsNational Weather Service 
Sun Jan 31 13:10:30 2010	San Jose (95101)	San Jose, CA (KSJC) as of 3:53am PST (17 mago)	50 10 	45 7 	83	30.01 1016.4 	3 3 	E80	 1600 488	10 16.1	--	Cloudy	No  this hour.	
Sun Jan 31 13:10:32 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 6:52am EST (18 mago)	16 -9 	11-Dec	88	30.16 1021.2 	Calm Calm	--	 Unlimited Unlimited	8 12.9	--	Clear	No  this hour.3" inches of snow on ground at 	Winter Weather Advisory Sun, Jan 31, 3:53am EST Sun, Jan 31, 12:00pm EST 4 hrs, 49 mins  Winter Weather Advisory Sun, Jan 31, 6:20am EST Sun, Jan 31, 12:00pm EST 4 hrs, 49 minsNational Weather Service 
Sun Jan 31 13:10:34 2010	San Diego (92101)	San Diego, CA (KSAN) as of 3:51am PST (19 mago)	53 12 	46 8 	79	29.95 1014.1 	Calm Calm	--	 2100 640	6 9.7	--	 Haze	No  this hour.	
Sun Jan 31 13:10:36 2010	Denver (80214)	Aurora, CO (KBKF) as of 4:55am MST (15 mago)	27 -3 	19 -7 	74	29.88 1011.9 	3 3 	W260	 22000 6706	7 11.3	23 -5 	Mostly Cloudy	No  this hour.	
Sun Jan 31 13:10:38 2010	Memphis (37501)	Memphis, TN (KMEM) as of 5:53am CST (17 mago)	20 -7 	15 -9 	81	30.31 1026.3 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	Fog Statement Sun, Jan 31, 4:03am CST Sun, Jan 31, 9:00am CST 2 hrs, 49 minsNational Weather Service 
Sun Jan 31 13:10:40 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 4:07am PST (3 mago)	50 10 	50 10 	100	29.94 1014 	Calm Calm	--	 400 122	2.5 4.0	--	 Mist	No  this hour.	Other Statement Sun, Jan 31, 3:38am PST Sun, Jan 31, 11:45am PST 7 hrs, 34 minsNational Weather Service 
Sun Jan 31 13:10:42 2010	El Paso (79901)	El Paso, TX (KELP) as of 4:51am MST (19 mago)	39 4 	33 1 	79	29.93 1013.5 	6 5 	N350	 30000 9144	10 16.1	35 2 	Cloudy	No  this hour.	
Sun Jan 31 13:10:45 2010	New York (10001)	New York City, NY (KNYC) as of 6:51am EST (19 mago)	14 -10 	0 -18 	51	30.06 1018.1 	6 G 185 G 16	VariableVariable	 Unlimited Unlimited	10 16.1	15-May	Clear	Lightning detector not working.	Special Weather Statement Sun, Jan 31, 4:39am EST Sun, Jan 31, 9:30am EST 2 hrs, 19 minsNational Weather Service 
Sun Jan 31 13:10:46 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 6:54am EST (16 mago)	13-Sep	0 -18 	64	30.16 1021.2 	6 5 	WNW290	 25000 7620	10 16.1	-1 -18 	Mostly Cloudy	No  this hour.	
Sun Jan 31 13:10:48 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 3:53am PST (17 mago)	46 8 	34 1 	62	29.90 1012.5 	10 9 	NNW340	 Unlimited Unlimited	10 16.1	--	Clear	Lightning detector not working.	
Sun Jan 31 13:10:50 2010	Washington (20001)	Washington DC, VA (KDCA) as of 6:52am EST (18 mago)	16 -9 	17-Jan	54	30.17 1021.7 	13 11 	NNW340	 20000 6096	10 16.1	17-Feb	Mostly Cloudy	No  this hour.	
Sun Jan 31 13:10:52 2010	Aust(73301)	AustCity, TX (KATT) as of 5:51am CST (19 mago)	30 -1 	27 -3 	88	30.30 1026 	5 4 	VariableVariable	 700 213	6 9.7	25 -4 	 Mist	No  this hour.	
Sun Jan 31 13:10:54 2010	San Francisco (94101)	San Francisco, CA (KSFO) as of 3:56am PST (14 mago)	47 8 	45 7 	93	30.01 1016.2 	3 3 	SSE160	 1500 457	10 16.1	--	Cloudy	No  this hour.	
Sun Jan 31 13:10:56 2010	Oklahoma City (73101)	Oklahoma City, OK (KOKC) as of 5:52am CST (18 mago)	22 -6 	20 -7 	93	30.21 1023 	5 4 	S170	 --	0.125 0.2	16 -9 	 Freezing Fog	No  this hour.4" inches of snow on ground at 5:52am CST .	Fog Statement Sun, Jan 31, 4:01am CST Sun, Jan 31, 12:00pm CST 5 hrs, 49 minsNational Weather Service 
Sun Jan 31 13:10:58 2010	Nashville (37201)	Nashville, TN (KBNA) as of 5:53am CST (18 mago)	15 -9 	11-Dec	88	30.31 1026.4 	Calm Calm	--	 Unlimited Unlimited	6 9.7	--	 Mist	No  this hour.4" inches of snow on ground at 5:53am CST .	Special Weather Statement Sun, Jan 31, 12:32am CST Sun, Jan 31, 12:45pm CST 6 hrs, 34 minsNational Weather Service 
Sun Jan 31 13:11:00 2010	Fort Worth (76101)	Fort Worth, TX (KFTW) as of 5:53am CST (18 mago)	29 -2 	24 -4 	82	30.29 1025.9 	3 3 	NE50	 800 244	10 16.1	25 -4 	Cloudy	No  this hour.	
Sun Jan 31 13:11:02 2010	Phoenix (85001)	Phoenix, AZ (KPHX) as of 4:51am MST (20 mago)	50 10 	42 6 	74	29.86 1011.1 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Mostly Clear	No  this hour.	
Sun Jan 31 13:11:03 2010	Portland (97201)	Portland, OR (KPDX) as of 3:53am PST (18 mago)	43 6 	43 6 	100	30.00 1016 	Calm Calm	--	 600 183	6 9.7	--	 Mist	No  this hour.	
Sun Jan 31 13:11:05 2010	Chicago (60601)	Chicago, IL (KMDW) as of 5:51am CST (20 mago)	17 -8 	11-Dec	80	30.24 1024.2 	7 6 	WSW250	 Unlimited Unlimited	7 11.3	13-Aug	Few Clouds	No  this hour.	
Sun Jan 31 13:11:07 2010	San Antonio (78201)	San Antonio, TX (KSAT) as of 5:53am CST (18 mago)	32 0 	28 -2 	88	30.23 1023.6 	8 7 	ENE60	 600 183	5 8.0	25 -4 	 Mist	No  this hour.	
Sun Jan 31 13:11:09 2010	Indianapolis (46201)	Indianapolis, (KIND) as of 6:54am EST (17 mago)	12-Oct	14-Jul	87	30.27 1024.9 	Calm Calm	--	 Unlimited Unlimited	8 12.9	--	Few Clouds	No  this hour.	
Sun Jan 31 13:11:11 2010	Boston (02101)	Boston, MA (KBOS) as of 6:54am EST (17 mago)	13 -11 	-8 -22 	38	30.02 1016.7 	12 10 	NNW330	 Unlimited Unlimited	10 16.1	-1 -18 	Mostly Clear	No  this hour.	
Sun Jan 31 13:11:13 2010	Jacksonville (32099)	Jacksonville, FL (KNIP) as of 6:53am EST (18 mago)	42 6 	34 1 	73	30.11 1019.5 	17 15 	N350	 1700 518	10 16.1	--	Cloudy	No  this hour.	
Sun Jan 31 13:11:14 2010	Coluus (43085)	Coluus, OH (KOSU) as of 6:53am EST (18 mago)	14-Jul	15-May	91	30.24 1024.1 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	
Sun Jan 31 13:11:16 2010	Dallas (75201)	Dallas, TX (KDAL) as of 5:53am CST (18 mago)	31 -1 	27 -3 	85	30.31 1026.3 	6 5 	E80	 1100 335	10 16.1	25 -4 	Cloudy	No  this hour.	Flood Statement Sat, Jan 30, 7:45pm CST Sun, Jan 31, 7:45am CST 1 hr, 33 mins  Flood Statement Sun, Jan 31, 5:34am CST Sun, Jan 31, 6:04am CST EXPIREDNational Weather Service Forecast 
Sun Jan 31 13:11:18 2010	Houston (77001)	Houston, TX (KHOU) as of 5:53am CST (18 mago)	35 2 	28 -2 	78	30.28 1025.5 	9 8 	N10	 1500 457	8 12.9	28 -2 	Cloudy	No  this hour.	
Sun Jan 31 13:11:20 2010	Seattle (98101)	Seattle, WA (KBFI) as of 3:53am PST (18 mago)	47 8 	44 7 	90	29.97 1014.9 	5 4 	ESE120	 900 274	10 16.1	--	Light Rain	0.02" of precipitation last hour.	
Sun Jan 31 13:11:21 2010	Milwaukee (53201)	Milwaukee, WI (KMKE) as of 5:52am CST (19 mago)	14 -10 	14-Jun	70	30.18 1021.9 	7 6 	W270	 7000 2134	9 14.5	16-Apr	Mostly Cloudy	No  this hour.	
Sun Jan 31 13:11:23 2010	Detroit (48201)	Detroit, MI (KDET) as of 6:53am EST (18 mago)	13 -11 	13-Aug	81	30.19 1022.2 	8 7 	SW230	 9000 2743	10 16.1	17-Feb	Cloudy	No  this hour.	
Sun Jan 31 13:11:25 2010	Philadelphia (19019)	Philadelphia, PA (KPHL) as of 6:54am EST (17 mago)	14 -10 	17-Jan	56	30.12 1019.9 	12 10 	NNW330	 Unlimited Unlimited	10 16.1	0 -18 	Mostly Clear	No  this hour.	Special Weather Statement Sun, Jan 31, 5:46am EST Sun, Jan 31, 12:00pm EST 4 hrs, 48 minsNational Weather Service 
Sun Jan 31 13:54:05 2010	San Jose (95101)	San Jose, CA (KSJC) as of 3:53am PST (61 mago)	50 10 	45 7 	83	30.01 1016.4 	3 3 	E80	 1600 488	10 16.1	--	Cloudy	No  this hour.	
Sun Jan 31 13:54:06 2010	Charlotte (28201)	Charlotte, NC (KCLT) as of 6:52am EST (62 mago)	16 -9 	11-Dec	88	30.16 1021.2 	Calm Calm	--	 Unlimited Unlimited	8 12.9	--	Clear	No  this hour.3" inches of snow on ground at 	Winter Weather Advisory Sun, Jan 31, 3:53am EST Sun, Jan 31, 12:00pm EST 4 hrs, 5 mins  Winter Weather Advisory Sun, Jan 31, 6:20am EST Sun, Jan 31, 12:00pm EST 4 hrs, 5 minsNational Weather Service 
Sun Jan 31 13:54:08 2010	San Diego (92101)	San Diego, CA (KSAN) as of 4:51am PST (3 mago)	52 11 	46 8 	83	29.94 1013.8 	Calm Calm	--	 2300 701	6 9.7	--	 Haze	No  this hour.	
Sun Jan 31 13:54:10 2010	Denver (80214)	Aurora, CO (KBKF) as of 4:55am MST (59 mago)	27 -3 	19 -7 	74	29.88 1011.9 	3 3 	W260	 22000 6706	7 11.3	23 -5 	Mostly Cloudy	No  this hour.	
Sun Jan 31 13:54:12 2010	Memphis (37501)	Memphis, TN (KMEM) as of 5:53am CST (61 mago)	20 -7 	15 -9 	81	30.31 1026.3 	Calm Calm	--	 Unlimited Unlimited	10 16.1	--	Clear	No  this hour.	Fog Statement Sun, Jan 31, 4:03am CST Sun, Jan 31, 9:00am CST 2 hrs, 5 minsNational Weather Service 
Sun Jan 31 13:54:14 2010	Los Angeles (90001)	Hawthorne, CA (KHHR) as of 4:40am PST (14 mago)	50 10 	48 9 	93	29.94 1014 	Calm Calm	--	 900 274	3 4.8	--	 Mist	No  this hour.	Other Statement Sun, Jan 31, 3:38am PST Sun, Jan 31, 11:45am PST 6 hrs, 50 minsNational Weather Service 
Sun Jan 31 13:54:16 2010	El Paso (79901)	El Paso, TX (KELP) as of 5:51am MST (3 mago)	39 4 	33 1 	79	29.93 1013.7 	6 5 	NNE20	 9500 2896	10 16.1	35 2 	Cloudy	No  this hour.	
Sun Jan 31 13:54:18 2010	New York (10001)	New York City, NY (KNYC) as of 7:51am EST (3 mago)	14 -10 	0 -18 	51	30.11 1019.5 	3 3 	VariableVariable	 Unlimited Unlimited	10 16.1	13-Aug	Clear	Lightning detector not working.	Special Weather Statement Sun, Jan 31, 4:39am EST Sun, Jan 31, 9:30am EST 1 hr, 35 minsNational Weather Service 
Sun Jan 31 13:54:20 2010	Baltimore (21201)	Baltimore, MD (KBWI) as of 6:54am EST (60 mago)	13-Sep	0 -18 	64	30.16 1021.2 	6 5 	WNW290	 25000 7620	10 16.1	-1 -18 	Mostly Cloudy	No  this hour.	
Sun Jan 31 13:54:21 2010	Las Vegas (89101)	Las Vegas, NV (KVGT) as of 3:53am PST (61 mago)	46 8 	34 1 	62	29.90 1012.5 	10 9 	NNW340	 Unlimited Unlimited	10 16.1	--	Clear	Lightning detector not working.	
Sun Jan 31 13:54:23 2010	Washington (20001)	Washington DC, VA (KDCA) as of 7:52am EST (2 mago)	17 -8 	17-Jan	49	30.20 1022.7 	12 10 	NW320	 20000 6096	10 16.1	16-Apr	Mostly Cloudy	No  this hour.	
Sun Jan 31 13:54:25 2010	Aust(73301)	AustCity, TX (KATT) as of 6:51am CST (3 mago)	30 -1 	27 -3 	88	30.32 1026.7 	5 4 	VariableVariable	 700 213	7 11.3	25 -4 	Cloudy	No  this hour.	
